track,date,race_number,program_number,horse_name,entry_distance,entry_surface,profile_distance,profile_time,profile_surface,performance_score,calculation_status
gulfstream-park,2025-09-28,1,3,Candy Road,,,5 f,0:56.57,Synth-Fast,5.62,Success
gulfstream-park,2025-09-28,1,2,Don't Go Astray,,,5 f,0:56.77,Synth-Fast,5.64,Success
gulfstream-park,2025-09-28,1,4,I'm Sam,,,5 f,0:56.77,Synth-Fast,5.64,Success
gulfstream-park,2025-09-28,1,7,Ristre,,,6F,1:11.18,Dirt-Fast,5.9,Success
gulfstream-park,2025-09-28,1,6,Illustration,,,6 1/2F,1:17.68,Dirt-Good,5.94,Success
gulfstream-park,2025-09-28,1,9,Golden Ambition,,,6 1/2F,1:17.68,Dirt-Good,5.94,Success
gulfstream-park,2025-09-28,2,1,Seeking a Prayer,,,5 1/2F,1:03.64,Synth-Fast,5.75,Success
gulfstream-park,2025-09-28,2,5,Zo Zucchera,,,1 m,1:34.86,Turf-Firm,5.89,Success
gulfstream-park,2025-09-28,2,4,Beentee,,,1 m,1:34.97,Turf-Firm,5.9,Success
gulfstream-park,2025-09-28,2,8,Latte Lizzie,,,1 1/16M,1:41.47,Synth-Fast,5.93,Success
gulfstream-park,2025-09-28,2,9,Princess Irene,,,1 m,1:37.36,Turf-Firm,6.05,Success
gulfstream-park,2025-09-28,2,3,Smart Style,,,1 1/16M,1:45.31,Synth-Fast,6.16,Success
gulfstream-park,2025-09-28,2,2,Prayed for Girl,,,1M 70Y,1:41.30,Synth-Fast,6.29,Success
gulfstream-park,2025-09-28,2,6,Vino Limone,,,1M 70Y,1:41.30,Synth-Fast,6.29,Success
gulfstream-park,2025-09-28,2,7,Gulfstream Mary D,,,1M 70Y,1:41.30,Synth-Fast,6.29,Success
gulfstream-park,2025-09-28,2,10,Smooth Claret,,,1M 70Y,1:41.30,Synth-Fast,6.29,Success
gulfstream-park,2025-09-28,3,2,Derby Hangover,,,5 f,0:57.24,Synth-Fast,5.69,Success
gulfstream-park,2025-09-28,3,5,Money Battle,,,5 f,0:57.24,Synth-Fast,5.69,Success
gulfstream-park,2025-09-28,3,6,Top Pocket Pick,,,5 f,0:57.24,Synth-Fast,5.69,Success
gulfstream-park,2025-09-28,3,1,Girl in Blue,,,5 1/2F,1:03.17,Synth-Fast,5.71,Success
gulfstream-park,2025-09-28,3,7,Starship Maximus,,,5 1/2F,1:04.10,Synth-Fast,5.79,Success
gulfstream-park,2025-09-28,3,4,Maranta,,,5 1/2F,1:04.33,Synth-Fast,5.81,Success
