track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
delaware-park,1,1,1,Bird King,96,Tiznow,Michael E. GorhamJose E. Vargas,6/1
delaware-park,1,2,2,Crabcakes N Beer,96,Good Samaritan,Bruce M. KravetsYabriel O. Ramos,10/1
delaware-park,1,3,3,Last Romance,85,Tapiture,Cathal A. LynchAngel Cruz,8/1
delaware-park,1,4,4,Majestic Tiger,99,Majestic City,Jamie NessJaime Rodriguez,4/1
delaware-park,1,5,5,Kbcya Later,112,Broken Vow,Charles A. DeMarioRaul E. Mena,12/1
delaware-park,1,6,6,King of Hollywood,81,Palace Malice,Douglas NunnJorge Luis Gonzalez,3/1
delaware-park,1,7,7,Catatumbo,100,Blame,Kieron MageeJ. D. Acosta,5/1
delaware-park,1,8,8,Ascendance,98,Tamarkuz,Jesus RodriguezJose Mauricio,10/1
delaware-park,1,9,9,Lookin At Roses,93,Lookin At Lucky,Guadalupe PreciadoJulio A. Hernandez,6/1
delaware-park,2,1,1,Toogoodtosell,76,Good Samaritan,Jose Luis RamirezJ.G. Torrealba,10/1
delaware-park,2,2,2,Tough Guy Tony,93,Maximus Mischief,"Robert E. Reid, Jr.Eliseo Ruiz",7/2
delaware-park,2,3,3,Fowl Mouth,86,Blofeld,Anthony PecoraroCarol Cedeno,8/1
delaware-park,2,4,4,Follow the Fellow,69,Weigelia,Chuck SpinaSonny Leon,8/1
delaware-park,2,5,5,Lundi Loot,93,First Mondays,Lynn A. AshbyJose A. Batista,5/2
delaware-park,2,6,6,Pronti O Meno,88,Just Leo,Kelly J. BreenJulio A. Hernandez,5/1
delaware-park,2,7,7,Santinni,92,Munnings,Greg ComptonJaime Rodriguez,6/1
delaware-park,2,8,8,Sir Newtons Laws,63,Accelerate,"Eddie Owens, JrJorge A. Vargas, Jr.",8/1
delaware-park,3,1,1,Alpha Company,102,Alpha,Dan WardSonny Leon,7/2
delaware-park,3,2,2,Bustin Loose,109,Kantharos,Sergio RabadanJorge Luis Gonzalez,9/2
delaware-park,3,3,3,Norfie,99,Accelerate,Renaldo RichardsSamuel Marin,15/1
delaware-park,3,4,4,Book Marker,99,Saburo,Bruce M. KravetsCharlie Marquez,10/1
delaware-park,3,5,5,Fight Fiercely,102,Twirling Candy,Jose S. RodriguezAlexander Crispin,6/1
delaware-park,3,6,6,Midnight Getaway,86,Midnight Storm,"James E. Nicholson, Jr.Jose E. Vargas",20/1
delaware-park,3,7,7,Immense Faith,67,Creative Cause,Reynaldo YanezRonaldo Rodriguez,12/1
delaware-park,3,8,8,Little Bit Risky,100,Great Notion,Caitlin KeilKevin Gomez,8/1
