race_number,program_number,horse_name,latest_surface,latest_distance,latest_time,latest_finish_position
1,1,Bird King,Dirt-Fast,1 m,1:39.31,3
1,2,Crabcakes N Beer,Dirt-Fast,1M 70Y,1:45.70,1
1,3,Last Romance,Dirt-Fast,1 1/16M,1:46.12,5
1,4,Majestic Tiger,Dirt-Fast,1M 70Y,1:43.72,1
1,5,Kbcya Later,Dirt-Fast,6 f,1:11.79,2
1,6,King of Hollywood,Dirt-Fast,1M 70Y,1:43.76,9
1,7,Catatumbo,Dirt-Fast,1M 70Y,1:43.76,2
1,8,Ascendance,Dirt-Fast,1 m,1:40.38,1
1,9,Lookin At Roses,Dirt-Fast,1M 70Y,1:43.76,5
2,1,Toogoodtosell,Turf-Firm,1 m,1:39.69,1
2,2,Tough Guy Tony,Dirt-Fast,5 1/2F,1:04.51,1
2,3,Fowl Mouth,Dirt-Fast,6 f,1:11.30,6
2,4,Follow the Fellow,Dirt-Fast,5 1/2F,1:07.90,1
2,5,Lundi Loot,Dirt-Fast,6 f,1:11.30,2
2,6,Pronti O Meno,Dirt-Fast,5 1/2F,1:06.60,1
2,7,Santinni,Dirt-Fast,6 f,1:13.96,1
2,8,Sir Newtons Laws,Turf-Firm,5 f,0:56.87,4
3,1,Alpha Company,Dirt-,6 f,1:10.91,8
3,2,Bustin Loose,Dirt-Fast,6 f,1:11.27,3
3,3,Norfie,Dirt-Fast,6 f,1:12.88,3
3,4,Book Marker,Dirt-Fast,6 f,1:12.88,4
3,5,Fight Fiercely,Dirt-Fast,6 f,1:12.88,2
3,6,Midnight Getaway,Dirt-Fast,6 f,1:10.54,3
3,7,Immense Faith,Dirt-Fast,6 f,1:12.43,7
3,8,Little Bit Risky,Dirt-Fast,5 1/2F,1:05.96,6
3,9,Amusing Mischief,Dirt-Fast,1M 70Y,1:44.92,8
3,10,Keeping It Country,Dirt-Fast,6 f,1:11.21,1
3,11,Prom Knight,Dirt-Fast,6 f,1:11.64,3
4,1,Lady Dominance,Dirt-Fast,1 m,1:42.67,1
4,2,Shigeko,Dirt-Muddy,1M 70Y,1:44.21,2
4,3,Salagadoola,Dirt-Fast,1 m,1:42.67,2
4,4,Saltamontes Diva,Dirt-Fast,1 m,1:41.80,5
4,5,More Ransom,Dirt-Fast,1 m,1:43.24,2
4,6,Recognize Me,Dirt-Fast,1 m,1:41.80,1
4,7,Extremely Gruntled,Dirt-Fast,1 m,1:42.67,3
4,8,Vodkatini,Dirt-Fast,1 m,1:43.24,3
4,9,Sandpiper Memories,Dirt-Fast,1 m,1:43.24,5
4,10,Never So Lucky,,,,
5,1,Dr. Merciless,Dirt-Fast,5 1/2F,1:06.41,4
5,2,Gallant Lad,Turf-Firm,1 1/16M,1:42.10,3
5,3,Wyoming Class,Dirt-Fast,1 m,1:38.49,2
5,4,The Commack Kid,Turf-Firm,1 1/16M,1:46.42,7
5,5,Uncle's Gold,Turf-Firm,1 1/16M,1:42.10,2
