track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
finger-lakes,1,1,1,Otherpeoplesmoney,101,Central Banker,Jonathan B. BuckleyKevin Navarro,5/1
finger-lakes,1,2,2,Last of My Kind,49,Lookin At Lee,Tamara HouselSofia Vives,6/1
finger-lakes,1,3,3,Maize Loved Laffy,76,Big Brown,Joseph E. MarinoHeman K. Harkie,8/1
finger-lakes,1,4,4,Tambam,81,Vino Rosso,Rachel SellsOscar Gomez,7/2
finger-lakes,1,5,5,Immigration Law,97,Violence,Ralph D'AlessandroEmanuel De Diego,4/1
finger-lakes,1,6,6,Giant At Work,88,Outwork,Charlton BakerAndre Shivnarine Worrie,3/1
finger-lakes,1,7,7,Freud's Fancy,67,Freud,M. Anthony FerraroLuis E. Perez,5/1
finger-lakes,2,1,1,Hypnotic Flair,78,Good Magic,Jonathan B. BuckleyJoel Cruz,2/1
finger-lakes,2,2,2,Playing With Dolls,85,World of Trouble,Jonathan B. BuckleyLuis E. Perez,7/2
finger-lakes,2,3,3,Lady Banker,94,Central Banker,Kathleen MastinChristian J. Navarro,5/2
finger-lakes,2,4,4,Outta the Cloud,78,Cloud Computing,Victor Dean IIIEmanuel De Diego,6/1
finger-lakes,2,5,5,Marilyn's Ny Pride,78,Tonalist,William H. BartlettOscar Gomez,8/1
finger-lakes,2,6,6,World Bank,86,Central Banker,Katlynn GuttersonKeiber J. Coa,5/1
finger-lakes,3,1,1,Nutsie,106,Exaggerator,Ilmar LoaizaChristian J. Navarro,9/2
finger-lakes,3,2,2,Busting Credit,85,Bustin Stones,Paul W. BarrowOscar Gomez,7/2
finger-lakes,3,3,3,Bay Bank,78,Central Banker,Dana SaulKeiber J. Coa,8/1
finger-lakes,3,4,4,Max Foster,107,Palace Malice,David OyolaKevin Navarro,4/1
finger-lakes,3,5,5,Mister J T,100,Stay Thirsty,Karl M. GrusmarkLuis Pena,6/1
finger-lakes,3,6,6,Brockmoninoff,94,Smart Bid,Paul W. BarrowJeremias Flores,5/2
finger-lakes,3,7,7,Invaluable Will,101,Willcox Inn,Debra A. BreedHeman K. Harkie,8/1
finger-lakes,4,1,1,SugarpapiMaximus Mischief,,,Thalia ArecheJohn C. Berrios,12/1
finger-lakes,4,2,2,Salty Ryan,80,Tom's d'Etat,William H. BartlettAndre Shivnarine Worrie,9/2
finger-lakes,4,3,3,Magic Beach,88,Omaha Beach,Debra A. BreedJoel Cruz,5/1
finger-lakes,4,4,4,Probably Flattery,95,Improbable,M. Anthony FerraroLuis E. Perez,7/2
finger-lakes,4,5,5,Rollofthesoul,36,Solomini,Brent BondChris Russell,15/1
finger-lakes,4,6,6,Montauk Memoirs,99,Solomini,Paul W. BarrowJeremias Flores,3/1
finger-lakes,4,7,7,Valiant Warrior,60,War Dancer,Debra A. BreedOscar Gomez,4/1
finger-lakes,4,8,8,Moonlight StarNyquist,,,Tamara HouselChristian J. Navarro,10/1
finger-lakes,5,1,1,Queens Over Threes,75,Bustin Stones,Jacqueline FalkTamay B. Alpander,10/1
finger-lakes,5,2,2,Eddie Marie,99,Solomini,Jonathan B. BuckleyKevin Navarro,7/2
finger-lakes,5,3,3,Bald Kitten,98,Bustin Stones,Michael A. LeCesseKeiber J. Coa,4/1
finger-lakes,5,4,4,Happy's Smile,103,Runhappy,Charlton BakerAndre Shivnarine Worrie,6/1
finger-lakes,5,5,5,Julita,81,Honor A. P.,James W. FerraroEmanuel De Diego,5/2
finger-lakes,5,6,6,Big Advantage,90,Mission Impazible,Paul W. BarrowJeremias Flores,5/1
finger-lakes,5,7,7,Call Me Penny,66,First Samurai,Rachel SellsOscar Gomez,6/1
finger-lakes,6,1,1,Indy Rags,74,Union Rags,Richard ShafferJeremias Flores,6/1
finger-lakes,6,2,2,Sanzio,85,Midnight Lute,Michael S. FerraroSofia Vives,7/2
finger-lakes,6,3,3,Findaname,71,Force the Pass,Thalia ArecheJuan J. Diaz,10/1
finger-lakes,6,4,4,One Morerep,82,Lookin At Lee,Paul W. BarrowOscar Gomez,6/1
finger-lakes,6,5,5,I'm Solo N in Love,90,Solomini,M. Anthony FerraroJoel Cruz,5/2
finger-lakes,6,6,6,Swift Magic,83,Good Samaritan,Jeremiah C. EnglehartAndre Shivnarine Worrie,4/1
finger-lakes,6,7,7,Gray Haired Gus,,Mission Impazible,Jonathan B. BuckleyKevin Navarro,8/1
finger-lakes,6,8,8,Dunedin Causeway,87,Gormley,Jennifer ParagalloReylu Gutierrez,15/1
finger-lakes,7,1,1,Retail Man,82,Leofric,Matthew ClarkeOscar Gomez,15/1
finger-lakes,7,2,2,Mr. Ripple,110,Dialed In,Miguel ClementKeiber J. Coa,3/2
finger-lakes,7,3,3,Aelfgar,102,Leofric,Rachel SellsJoel Cruz,5/1
finger-lakes,7,4,4,Berning Beauty,103,Bernardini,Charlton BakerLuis E. Perez,5/2
finger-lakes,7,5,5,Az U Chase Me,100,Sharp Azteca,Chris J. EnglehartAndre Shivnarine Worrie,6/1
finger-lakes,7,6,6,Ice Time,90,Keen Ice,Timothy P. MurphyChristian J. Navarro,8/1
finger-lakes,7,7,7,Seams Like Destiny,102,Destin,Troy SmithHeman K. Harkie,10/1
finger-lakes,8,1,1,Awaiting Trial,71,Always Dreaming,Jonathan B. BuckleyJoel Cruz,5/1
