race_number,program_number,horse_name,latest_surface,latest_distance,latest_time,latest_finish_position
1,1,Otherpeoplesmoney,Dirt-Fast,6 f,1:12.38,1
1,2,Last of My Kind,Dirt-Fast,1 m,1:42.78,7
1,3,Maize Loved Laffy,Dirt-Fast,1 m,1:42.78,5
1,4,Tambam,Dirt-Fast,1 m,1:42.78,2
1,5,Immigration Law,Dirt-Fast,1 1/16M,1:47.60,1
1,6,Giant At Work,Dirt-Fast,1 m,1:41.19,1
1,7,Freud's Fancy,Dirt-Fast,1M 70Y,1:47.56,4
2,1,Hypnotic Flair,Dirt-Fast,1 m,1:42.78,4
2,2,Playing With Dolls,,,,
2,3,Lady Banker,Dirt-Fast,5 1/2F,1:06.70,3
2,4,Outta the Cloud,Dirt-Fast,6 f,1:13.20,5
2,5,Marilyn's Ny Pride,Dirt-Fast,1 m,1:39.63,6
2,6,World Bank,Dirt-Fast,5 1/2F,1:06.70,4
3,1,Nutsie,Dirt-Fast,6 f,1:11.27,8
3,2,Busting Credit,Dirt-Fast,6 f,1:14.30,4
3,3,Bay Bank,Dirt-Fast,6 f,1:13.42,7
3,4,Max Foster,Dirt-Fast,5 1/2F,1:05.97,1
3,5,Mister J T,Dirt-Fast,6 f,1:13.42,2
3,6,Brockmoninoff,Dirt-Fast,6 f,1:13.42,4
3,7,Invaluable Will,Dirt-Fast,5 1/2F,1:06.12,4
4,1,SugarpapiMaximus Mischief,,,,
4,2,Salty Ryan,Dirt-Fast,5 1/2F,1:06.47,6
4,3,Magic Beach,Dirt-Fast,6 f,1:12.66,4
4,4,Probably Flattery,Dirt-Fast,6 f,1:12.66,3
4,5,Rollofthesoul,Dirt-Fast,6 f,1:12.66,8
4,6,Montauk Memoirs,Dirt-Fast,5 1/2F,1:06.47,2
4,7,Valiant Warrior,Dirt-Fast,5 1/2F,1:06.47,7
4,8,Moonlight StarNyquist,,,,
5,1,Queens Over Threes,Dirt-Fast,6 f,1:13.20,6
5,2,Eddie Marie,Dirt-Fast,6 f,1:13.20,2
5,3,Bald Kitten,Dirt-Fast,5 1/2F,1:05.88,2
5,4,Happy's Smile,Dirt-Fast,5 1/2F,1:06.48,1
5,5,Julita,Dirt-Fast,7 f,1:26.60,9
5,6,Big Advantage,Dirt-Fast,6 f,1:13.20,4
5,7,Call Me Penny,Turf-Firm,5 1/2F,1:03.39,4
6,1,Indy Rags,Dirt-Fast,1 m,1:41.45,5
6,2,Sanzio,Dirt-Fast,1 1/16M,1:49.67,1
6,3,Findaname,Dirt-Fast,1 m,1:41.45,6
6,4,One Morerep,Dirt-Fast,1 m,1:40.84,4
6,5,I'm Solo N in Love,Dirt-Fast,1 m,1:40.84,2
6,6,Swift Magic,Dirt-Fast,7 f,1:24.24,7
6,7,Gray Haired Gus,Dirt-Fast,6 f,1:13.65,8
6,8,Dunedin Causeway,Dirt-Fast,5 1/2F,1:05.61,4
7,1,Retail Man,Dirt-Fast,1M 70Y,1:44.27,6
7,2,Mr. Ripple,Dirt,1 mile,1:34.48,4th
7,3,Aelfgar,Turf-Firm,1 1/16M,1:40.67,5
7,4,Berning Beauty,Dirt-Fast,1M 70Y,1:44.27,2
7,5,Az U Chase Me,Dirt-Fast,1 m,1:38.44,1
7,6,Ice Time,Dirt-Fast,1M 70Y,1:44.27,4
7,7,Seams Like Destiny,Dirt-Fast,1M 70Y,1:44.27,3
8,1,Awaiting Trial,Dirt-Fast,5 1/2F,1:07.31,4
8,2,Nightmissio,Dirt-Fast,5 1/2F,1:07.31,2
8,3,Cada Dia Mejor,Dirt-Fast,5 1/2F,1:07.31,5
8,4,Real Eleve,Dirt-Fast,6 f,1:14.31,2
8,5,Captain BonnetKillybegs Captain,,,,
8,6,Racerx,Dirt-Fast,6 f,1:13.49,3
8,7,Frenchman James,Dirt-Fast,6 f,1:14.31,6
8,8,Go Long,Turf-Firm,5 1/2F,1:04.49,4
