track_name,race_date,race_number,post_time,distance,surface,purse,race_type,total_entries,has_results
gulfstream-park,"Sunday, September 28, 2025",1,12:50 PM,5 1/2F,Dirt,"29,000","5 1/2F,
Dirt,
$17,500 Maiden ClaimingOpen | 2 Year OldsPurse: $29,000",9,False
gulfstream-park,"Sunday, September 28, 2025",2,1:21 PM,1 1/16M,Turf,"36,000","1 1/16M,
Turf,
$25,000 ClaimingFillies & Mares | 3 Year Olds And UpPurse: $36,000",10,False
gulfstream-park,"Sunday, September 28, 2025",3,1:52 PM,5 1/2F,,"34,000","5 1/2F,
All Weather Track,
$25,000 Maiden ClaimingFillies & Mares | 3 Year Olds And UpPurse: $34,000",7,False
gulfstream-park,"Sunday, September 28, 2025",4,2:23 PM,5 1/2F,,"27,000","5 1/2F,
All Weather Track,
$10,000 ClaimingFillies & Mares | 3 Year Olds And UpPurse: $27,000",10,False
gulfstream-park,"Sunday, September 28, 2025",5,2:55 PM,1 m,Turf,"58,000","1 m,
Turf,
AllowanceOpen | 3 Year OldsPurse: $58,000",7,False
gulfstream-park,"Sunday, September 28, 2025",6,3:29 PM,7 f,Dirt,"24,500","7 f,
Dirt,
$8,000 ClaimingOpen | 3 Year Olds And UpPurse: $24,500",9,False
gulfstream-park,"Sunday, September 28, 2025",7,4:04 PM,1 m,Turf,"70,000","1 m,
Turf,
Maiden Special WeightOpen | 2 Year OldsPurse: $70,000",12,False
gulfstream-park,"Sunday, September 28, 2025",8,4:35 PM,7 f,Dirt,"40,000","7 f,
Dirt,
$25,000 Starter AllowanceOpen | 3 Year Olds And UpPurse: $40,000",7,False
gulfstream-park,"Sunday, September 28, 2025",9,5:07 PM,5 f,Turf,"57,000","5 f,
Turf,
$25,000 Allowance Optional ClaimingFillies & Mares | 3 Year Olds And UpPurse: $57,000",11,False
gulfstream-park,"Sunday, September 28, 2025",10,5:39 PM,5 1/2F,,"26,500","5 1/2F,
All Weather Track,
$12,500 Maiden ClaimingOpen | 3 Year Olds And UpPurse: $26,500",9,False
