track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
gulfstream-park,1,1,1,Fifteen Hundred RBismarck Tullio,,,Eduardo M. VazquezLuis Fuenmayor,30/1
gulfstream-park,1,2,2,Don't Go Astray,33,Bullet Gone Astray,Henry CollazoLeonel Reyes,30/1
gulfstream-park,1,3,3,Candy Road,57,Gone Astray,Arnoud W. DobberMia Nicholls,20/1
gulfstream-park,1,4,4,I'm Sam,70,Mendelssohn,Rohan G. CrichtonAnthony Thomas,8/5
gulfstream-park,1,5,5,AwegodAwesome Slew,,,Mary LightnerMicah J. Husbands,5/1
gulfstream-park,1,6,6,Illustration,22,Three Rules,Robert G. SmithSkyler Spanabel,15/1
gulfstream-park,1,7,7,Ristre,39,Gunnevera,Ronald CoyJesus M. Rios,6/1
gulfstream-park,1,8,8,LovethisbizzBismarck Tullio,,,Jose GaroffaloJose E. Morelos,10/1
gulfstream-park,1,9,9,Golden Ambition,76,Mendelssohn,Ramon MinguetYolber Torres,2/1
gulfstream-park,2,1,1,Seeking a Prayer,79,Catholic Boy,"Saffie A. Joseph, Jr.Reylu Gutierrez",8/1
gulfstream-park,2,2,2,Prayed for Girl,80,American Pharoah,Arnoud W. DobberMia Nicholls,30/1
gulfstream-park,2,3,3,Smart Style,89,Awesome Slew,Roger LaurinJonathan Ocasio,20/1
gulfstream-park,2,4,4,Beentee,85,Kitten's Joy,Lisa L. LewisLeonel Reyes,10/1
gulfstream-park,2,5,5,Zo Zucchera,95,Collected,Mark PassleyMiguel Angel Vasquez,2/1
gulfstream-park,2,6,6,Vino Limone,89,Vino Rosso,Armando De La CerdaJose E. Morelos,4/1
gulfstream-park,2,7,7,Gulfstream Mary D,79,Authentic,Steven DwoskinJose C. Ferrer,5/1
gulfstream-park,2,8,8,Latte Lizzie,94,Catalina Cruiser,Jeff EnglerEmisael Jaramillo,6/1
gulfstream-park,2,9,9,Princess Irene,89,Omaha Beach,Jorge DelgadoRajiv Maragh,10/1
gulfstream-park,2,10,10,Smooth Claret,94,Vino Rosso,Jennifer P. YoungEdgar Perez,15/1
gulfstream-park,3,1,1,Girl in Blue,74,Air Force Blue,Lisa L. LewisLeonel Reyes,6/1
