track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
horseshoe-indianapolis,1,1,1,Mountain MikeBig Bad Mike,,,"John HaranMarcelino Pedroza, Jr.",12/1
horseshoe-indianapolis,1,2,2,Z's FireballZ Lucky,,,Stephen V. FosdickAlberto Burgos,10/1
horseshoe-indianapolis,1,3,3,Legal Mayhem,35,Harry's Holiday,Michelle L. ElliottEvin A. Roman,15/1
horseshoe-indianapolis,1,4,4,Lil Chance,49,Sombeyay,Michelle L. ElliottMitchell Murrill,10/1
horseshoe-indianapolis,1,5,5,Practical Justice,46,Harry's Holiday,Aaron M. WestFernando De La Cruz,6/1
horseshoe-indianapolis,1,6,6,Reachin Out,19,Elnaawi,Genaro GarciaSamuel E. Bermudez,4/1
horseshoe-indianapolis,1,7,7,Show Me Justice,70,Harry's Holiday,Cipriano ContrerasJose Ramos Gutierrez,4/5
horseshoe-indianapolis,2,1,1,Jenny's Beignet,75,Unbridled Express,Genaro GarciaJose Ramos Gutierrez,5/2
horseshoe-indianapolis,2,2,2,Binge,94,Skylord,Joseph D. DavisFernando De La Cruz,10/1
horseshoe-indianapolis,2,3,3,Gold Buckle,45,Soldat,Tracey J. WisnerJoseph M. Romero,15/1
horseshoe-indianapolis,2,4,4,Scenic Justice,99,Harry's Holiday,Anthony J. GranitzSamuel E. Bermudez,7/5
horseshoe-indianapolis,2,5,5,Mikie O'Prado,100,Fort Prado,Stephen V. FosdickAlberto Burgos,6/1
horseshoe-indianapolis,2,6,6,Mansfield Tiger,99,Pataky Kid,Tim EgglestonOrlando Mojica,4/1
horseshoe-indianapolis,3,1,1,Evil Intentions,86,Neck 'n Neck,"Robert E. Dobbs, Jr.Rodney A. Prescott",3/1
horseshoe-indianapolis,3,2,2,Skys Image,77,Ready's Image,Sergio DonjuanJann N. Hernandez,8/1
horseshoe-indianapolis,3,3,3,Ace Reporter,98,War Correspondent,Daniel SimpsonJoseph D. Ramos,9/5
horseshoe-indianapolis,3,4,4,D' Kitten,88,Unbridled Express,Genaro GarciaEmmanuel Esquivel,7/2
horseshoe-indianapolis,3,5,5,Castle Magic,96,Palace Malice,Daniel SimpsonMitchell Murrill,5/1
horseshoe-indianapolis,3,6,6,When's Forever,87,Forever d'Oro,Joseph D. DavisFernando De La Cruz,6/1
horseshoe-indianapolis,4,1,1,Neon Leon,97,Unbridled Express,Tianna RichardvilleFernando De La Cruz,9/5
horseshoe-indianapolis,4,2,2,Nastinate,107,More Than Ready,Sergio DonjuanJann N. Hernandez,6/1
horseshoe-indianapolis,4,3,3,Reflex,77,Slope,John HaranEvin A. Roman,10/1
horseshoe-indianapolis,4,4,4,Ain't No Disco,86,Catalina Cruiser,Genaro GarciaAlex Achard,4/1
horseshoe-indianapolis,4,5,5,A Champs Dream,96,Collected,Lilia GonzalezJoseph M. Romero,7/2
horseshoe-indianapolis,4,6,6,Dirbas,66,Constitution,Rogelio LabraSamuel E. Bermudez,6/1
horseshoe-indianapolis,4,7,7,Vehemently,89,Volatile,Michelle L. ElliottJose Ramos Gutierrez,10/1
horseshoe-indianapolis,5,1,1,Zappera,73,Ghostzapper,"Paul H. Brown, Jr.Jane Elliott",3/1
horseshoe-indianapolis,5,2,2,Silent Secretary,78,(78)War Secretary,Jake S. RadosevichFernando De La Cruz,20/1
horseshoe-indianapolis,5,3,3,Fascinator,87,Clubhouse Ride,"Ed Moger, Jr.Summer Pauly",9/2
horseshoe-indianapolis,5,4,4,Malice Mama,66,Palace Malice,Guber GorostietaJann N. Hernandez,20/1
horseshoe-indianapolis,5,5,5,Turnupthesunshine,27,Accelerate,Glenna L. LaureanoIrving Moncada,20/1
horseshoe-indianapolis,5,6,6,Ziva,63,Cupid,Byron G. HughesJoseph C. Bealmear,8/1
horseshoe-indianapolis,5,7,7,Argentinidad,84,Demarchelier (GB),Luis E. SeglinJ.J. Meza,10/1
horseshoe-indianapolis,5,8,8,Acousticat,86,Maclean's Music,John HaranJose Ramos Gutierrez,5/1
horseshoe-indianapolis,5,9,9,Rockaway Reef,86,Take Charge Indy,Kenneth G. MillerAlberto Burgos,6/1
horseshoe-indianapolis,5,10,10,Fall in Love,86,Candy Ride (ARG),"William Stinson, Jr.Gabriel Saez",6/1
