race_number,program_number,horse_name,latest_surface,latest_distance,latest_time,latest_finish_position
1,1,Mountain MikeBig Bad Mike,,,,
1,2,Z's FireballZ Lucky,,,,
1,3,Legal Mayhem,Dirt-Fast,5 1/2F,1:06.87,8
1,4,Lil Chance,Dirt-Fast,5 1/2F,1:04.97,9
1,5,Practical Justice,Dirt-Fast,5 1/2F,1:05.87,7
1,6,Reachin Out,Dirt-Fast,5 1/2F,1:06.97,9
1,7,Show Me Justice,Dirt-Fast,5 1/2F,1:04.97,3
2,1,Jenny's Beignet,Dirt-Fast,1 m,1:39.93,7
2,2,Binge,Dirt-Fast,6F,1:10.88,6
2,3,Gold Buckle,Dirt-Good,1 m,1:42.29,8
2,4,Scenic Justice,Dirt-,1 m,1:37.64,6
2,5,Mikie O'Prado,Dirt-Fast,6F,1:10.88,5
2,6,Mansfield Tiger,Dirt-Fast,1M 70Y,1:42.27,3
3,1,Evil Intentions,Dirt-Fast,1 1/16M,1:45.47,9
3,2,Skys Image,Turf-Firm,7 f,1:24.89,6
3,3,Ace Reporter,Dirt-Fast,5 1/2F,1:03.27,7
3,4,D' Kitten,Dirt-Fast,6F,1:10.11,7
3,5,Castle Magic,Dirt-Good,6F,1:10.88,5
3,6,When's Forever,Dirt-Fast,6F,1:12.86,3
4,1,Neon Leon,Dirt-Fast,5 1/2F,1:05.74,1
4,2,Nastinate,Dirt-Fast,6F,1:12.14,2
4,3,Reflex,Dirt-Fast,5 1/2F,1:05.39,6
4,4,Ain't No Disco,Dirt-Fast,5 1/2F,1:05.31,5
4,5,A Champs Dream,Dirt-Fast,6F,1:12.52,1
4,6,Dirbas,Dirt-Fast,1 1/16M,1:46.53,5
4,7,Vehemently,Dirt-Fast,5 1/2F,1:05.31,4
5,1,Zappera,Turf-Firm,1 m,1:37.56,4
5,2,Silent Secretary,,,,
5,3,Fascinator,Turf-Firm,1 1/16M,1:42.30,2
5,4,Malice Mama,Turf-Firm,1 1/16M,1:43.24,3
5,5,Turnupthesunshine,Dirt-Fast,1M 70Y,1:46.50,4
5,6,Ziva,Dirt-,1 1/16M,1:48.58,4
5,7,Argentinidad,Turf-Firm,1 m,1:36.28,5
5,8,Acousticat,Turf-Firm,1 m,1:36.28,2
5,9,Rockaway Reef,Turf-Firm,1 m,1:36.28,3
5,10,Fall in Love,Turf,1  1/4 m,2:09.57,7th
6,1,Scuba,,,,
6,2,Patriotic Jerrell,Synth-Fast,6 1/2F,1:20.58,1st
6,3,Freaky Z,Dirt-Fast,6F,1:12.36,6
6,4,C'Est Magnifique,Turf-Firm,1 m,1:35.13,5
6,5,Track Ranger,Dirt-Fast,1 m,1:38.70,9
6,6,Enjoy the Cracken,Dirt-Fast,1 m,1:41.39,1
6,7,Mr Oklahoma,Dirt-Fast,6F,1:09.57,7
7,1,KetchumCaravaggio,,,,
7,2,Gazar,Turf,5  f,0:57.81,5th
7,3,Tazzy,Turf-Firm,5 f,0:57.81,3
7,4,Cat's Spirit,Dirt-Fast,4 1/2F,0:53.43,4
7,5,ForumImprobable,,,,
7,6,Wishmaster,Turf-Firm,1 m,1:37.24,8
7,7,Love Potion,Turf,5  f,0:57.81,4th
7,8,Pupil,Turf-Firm,5 1/2F,1:03.44,5
7,9,Royal Retinue,,,,
7,10,Distant Galaxy,Dirt-Fast,4 1/2F,0:53.43,5
8,1,Julee Forever,Dirt-Fast,1 1/16M,1:48.43,4
8,2,Glitter Queen,Dirt-Fast,6F,1:13.33,3
8,3,Si O Si,Turf-Firm,1 m,1:37.18,2
8,4,What You Wished,Turf-Good,1 1/16M,1:44.80,4
8,5,Kitten's Song,Dirt-Fast,5 1/2F,1:07.90,2
8,6,Jogger,Dirt-Fast,1 1/16M,1:48.43,6
8,7,Tapit Charm,Dirt-Fast,5 1/2F,1:07.90,4
8,8,Abra Abra,Turf-Firm,1 m,1:37.18,9
8,9,Tempest Jill,Turf-Firm,1 m,1:37.18,3
8,10,Screamin Nina,Dirt-,1 m,1:41.20,2
9,1,Mr Bac for the PrizeTip It Bac,,,,
9,2,Lb Mr CoronaCorona Cartel,,,,
9,3,Sista MajesticFast Majestic Dash,,,,
9,4,FlareforthecashFlare for Ivory,,,,
9,5,Cindy PopWhata Corona,,,,
9,6,Gigis Top SecretHabits Secret,,,,
9,7,Too Catch a LegacyData Legacy,,,,
9,8,Boujee BloodApollitical Blood,,,,
9,9,Valiant BeacherOne Valiant Hero,,,,
9,10,Flare for RitzyFlare for Ivory,,,,
9,11,Hf Jess My HeroValiant Hero,,,,
9,12,Perrys Secret GoldRacy Secret,,,,
9,13,CruisindownthebeachHabits Secret,,,,
9,14,Corona ChampagneWhata Corona,,,,
