track,date,race_number,program_number,horse_name,entry_distance,entry_surface,profile_distance,profile_time,profile_surface,performance_score,calculation_status
laurel-park,2025-09-28,1,1,Ade,6f,Dirt,5 1/2F,1:06.36,Dirt-Fast,5.53,Başarılı
laurel-park,2025-09-28,1,2,Respect the Law,6f,Dirt,5 1/2F,1:03.39,Turf-Firm,5.28,Başarılı
laurel-park,2025-09-28,1,3,Running Rio,6f,Dirt,6F,1:08.17,Turf-Firm,5.65,Başarılı
laurel-park,2025-09-28,1,4,Beyond Question,6f,Dirt,5 1/2F,1:03.20,Turf-Firm,5.27,Başarılı
laurel-park,2025-09-28,1,5,A P M Notion,6f,Dirt,6F,1:12.66,Dirt-Fast,6.02,Başarılı
laurel-park,2025-09-28,1,6,Ariel Moon,6f,Dirt,5 1/2F,1:03.80,Turf-Firm,5.32,Başarılı
laurel-park,2025-09-28,1,7,Granuaile,6f,Dirt,5 1/2F,1:03.30,Turf-Firm,5.28,Başarılı
laurel-park,2025-09-28,1,8,Ms. Laobanniang,6f,Dirt,5 f,0:57.36,Turf-Firm,5.72,Başarılı
laurel-park,2025-09-28,1,9,Sweet Honey Bee,6f,Dirt,5 1/2F,1:02.30,Turf-Firm,5.19,Başarılı
laurel-park,2025-09-28,1,10,Query,6f,Dirt,5 f,0:57.36,Turf-Firm,5.72,Başarılı
laurel-park,2025-09-28,1,11,Born Charmer,6f,Dirt,5 1/2F,1:03.80,Turf-Firm,5.32,Başarılı
laurel-park,2025-09-28,1,12,Collected Dreams,6f,Dirt,6 1/2F,1:21.65,Dirt-Fast,6.8,Başarılı
laurel-park,2025-09-28,2,1,Pippin the WarriorMadefromlucky,6f,Dirt,,,,,Profil yok
laurel-park,2025-09-28,2,2,El Papacito,6f,Dirt,5 1/2F,1:04.47,Turf-Firm,5.37,Başarılı
laurel-park,2025-09-28,2,3,Our Ham Sandwich,6f,Dirt,5 1/2F,1:03.44,Turf-Firm,5.29,Başarılı
laurel-park,2025-09-28,2,4,Golden Sand,6f,Dirt,5 1/2F,1:06.56,Dirt-Fast,5.55,Başarılı
laurel-park,2025-09-28,2,5,Golden KidGolden Years,6f,Dirt,,,,,Profil yok
laurel-park,2025-09-28,2,6,Hard Freeze,6f,Dirt,5 f,0:59.79,Dirt-Fast,5.96,Başarılı
laurel-park,2025-09-28,2,7,Pencil Me In,6f,Dirt,5 f,0:59.79,Dirt-Fast,5.96,Başarılı
laurel-park,2025-09-28,3,1,Ecliptical Gina,6f,Dirt,1 1/16M,1:45.95,Turf-Good,8.83,Başarılı
laurel-park,2025-09-28,3,2,Canadian Bear,6f,Dirt,1M 70Y,1:43.12,Turf-Firm,8.59,Başarılı
laurel-park,2025-09-28,3,3,Practical Romance,6f,Dirt,1 1/8 m,1:51.16,Turf-Firm,9.26,Başarılı
laurel-park,2025-09-28,3,4,Octet,6f,Dirt,1M 70Y,1:42.17,Turf-Firm,8.52,Başarılı
laurel-park,2025-09-28,3,5,Bella Estrela,6f,Dirt,1M,1:38.23,Turf-Good,6.07,Başarılı
laurel-park,2025-09-28,3,6,Fabia,6f,Dirt,1 1/16M,1:45.95,Turf-Good,8.83,Başarılı
laurel-park,2025-09-28,3,7,Happy This Day,6f,Dirt,1 1/16M,1:43.56,Turf-Firm,8.63,Başarılı
laurel-park,2025-09-28,3,8,Steam Knot,6f,Dirt,5 1/2F,1:03.39,Turf-Firm,5.28,Başarılı
laurel-park,2025-09-28,3,9,Infastuation,6f,Dirt,6F,1:12.66,Dirt-Fast,6.02,Başarılı
laurel-park,2025-09-28,3,10,Queen Rocket,6f,Dirt,1 1/16M,1:45.46,Turf-Good,8.79,Başarılı
laurel-park,2025-09-28,3,11,Scholar,6f,Dirt,1 1/16M,1:45.95,Turf-Good,8.83,Başarılı
laurel-park,2025-09-28,3,12,Learning to Fly,6f,Dirt,1 1/16M,1:45.95,Turf-Good,8.83,Başarılı
laurel-park,2025-09-28,4,1,Gotta Be Da Shoes,6f,Dirt,5 1/2F,1:04.92,Turf-Firm,5.41,Başarılı
