track,date,race_number,program_number,horse_name,entry_distance,entry_surface,profile_distance,profile_time,profile_surface,performance_score,calculation_status
santa-anita,2025-09-28,1,8,Foreroyal,5F,,,0:57.84,Turf-Firm,5.75,Success
santa-anita,2025-09-28,1,9,Crime Lord,5F,,,0:57.84,Turf-Firm,5.75,Success
santa-anita,2025-09-28,1,4,Fleet Brotato,1 m,,,1:35.94,Dirt-Fast,5.96,Success
santa-anita,2025-09-28,1,7,Zagreus,1 m,,,1:39.26,Dirt-Fast,6.17,Success
santa-anita,2025-09-28,1,1,Kiss for Lulu,1 1/16M,,,1:43.91,Turf-Firm,51.65,Success
santa-anita,2025-09-28,1,2,Irish Element,1 1/16M,,,1:43.91,Turf-Firm,51.65,Success
santa-anita,2025-09-28,1,3,Star of Delhi,1 1/16M,,,1:43.91,Turf-Firm,51.65,Success
santa-anita,2025-09-28,1,5,Fight Back,1 1/16M,,,1:43.91,Turf-Firm,51.65,Success
santa-anita,2025-09-28,1,6,Mav Man,1 1/16M,,,1:43.91,Turf-Firm,51.65,Success
santa-anita,2025-09-28,1,10,Benny's Puzzle,1 1/16M,,,1:43.91,Turf-Firm,51.65,Success
santa-anita,2025-09-28,1,11,Brahms Mendelssohn,1 1/16M,,,1:43.91,Turf-Firm,51.65,Success
santa-anita,2025-09-28,2,3,Joyful Mischief,6 f,,,1:10.62,Dirt-Fast,5.85,Success
santa-anita,2025-09-28,2,4,Gathered,1 m,,,1:37.21,Turf-Firm,6.04,Success
santa-anita,2025-09-28,2,1,A Friend of Mine,6 1/2F,,,1:15.70,Dirt-Fast,6.27,Success
santa-anita,2025-09-28,2,2,Deep BlueEcho Town,,,,,,,Success
santa-anita,2025-09-28,2,5,Music LadyAlways Dreaming,,,,,,,Success
santa-anita,2025-09-28,3,1,Ivory Moon,1 m,,,1:38.21,Dirt-Fast,6.1,Success
santa-anita,2025-09-28,3,2,Violet Storm,1 m,,,1:38.21,Dirt-Fast,6.1,Success
santa-anita,2025-09-28,3,3,Twilight Empire,1 m,,,1:38.21,Dirt-Fast,6.1,Success
