race_number,program_number,horse_name,age,sex,status,owner,trainer,breeder,sire,dam,dam_sire,latest_race_date,latest_track,latest_distance,latest_surface,latest_time,latest_finish_position,latest_speed_figure,latest_race_type
1,1,Ade,3,Filly,Active,High Schticking Thoroughbreds LLC,Rodolfo Sanchez-Salomon,Owen Kiernan,Hoppertunity,Princess Thunder,Dixie Union,2025-09-14,LRL,5 1/2F,Dirt-Fast,1:06.36,2,89,LRL CLM (09/14/2025-R4)
1,2,Respect the Law,3,Filly,Active,LBR Racing Stable,Richard P. Sillaman,"Spendthrift Farm, LLC",Tiz the Law,Hrasky,Speightstown,2025-09-01,CNL,5 1/2F,Turf-Firm,1:03.39,6,63,CNL CLM (09/01/2025-R6)
1,3,Running Rio,3,Filly,Active,Richard Burnsworth,Anthony Farrior,Hibiscus Stables,Street Boss,La Rignana,Galileo,2025-06-21,BAQ,6 f,Turf-Firm,1:08.17,3,95,Allow
1,4,Beyond Question,3,Filly,Active,The Estate of R. Larry Johnson,Michael J. Trombetta,R. Larry Johnson,Street Magician,Questionoftheday,The Factor,2025-08-27,CNL,5 1/2F,Turf-Firm,1:03.20,7,74,CNL CLM (08/27/2025-R8)
1,5,A P M Notion,4,Filly,Active,APM Stables Inc,David R. Mohan,Paige Mohan,Great Notion,Malabar,Tapizar,2025-09-12,LRL,6 f,Dirt-Fast,1:12.66,3,81,LRL CLM (09/12/2025-R9)
1,6,Ariel Moon,4,Filly,Active,Country Life Farm,Michael J. Trombetta,Country Life Farm & Fifteen Moons LLC,Mosler,Fifteen Moons,Malibu Moon,2025-09-05,LRL,5 1/2F,Turf-Firm,1:03.80,3,83,LRL SOC (09/05/2025-R4)
1,7,Granuaile,4,Filly,Active,"Barak Farm, Dino's Thoroughbreds, LLC, Tackett, Gary and Corrales Racing, LLC",Jose Corrales,,Holy Boss,Furiosa,Fastnet Rock,2025-07-23,CNL,5 1/2F,Turf-Firm,1:03.30,1,80,CNL MCL (07/23/2025-R5)
1,8,Ms. Laobanniang,3,Filly,Active,Two Ten Twelve Triple T Racing,Bruce M. Kravets,"Breeze Easy, LLC",Laoban,Devine Mischief,Into Mischief,2025-09-04,PEN,5 f,Turf-Firm,0:57.36,2,82,PEN SOC (09/04/2025-R3)
1,9,Sweet Honey Bee,4,Filly,Active,Laura Stees,Ashley Stees,"Sycamore Hall Thoroughbreds, LLC",Golden Lad,Treated Properly,Blame,2025-09-05,CNL,5 1/2F,Turf-Firm,1:02.30,7,73,CNL CLM (09/05/2025-R8)
1,10,Query,3,Filly,Active,Tom Coulter,Erin C. McClellan,"Arrowwood Farm, Inc.",Great Notion,Black Coco,Cape Town,2025-09-04,PEN,5 f,Turf-Firm,0:57.36,3,81,PEN SOC (09/04/2025-R3)
1,11,Born Charmer,3,Filly,Active,Gregory L. Wilson,Gregory L. Wilson,Mr. & Mrs. Charles McGinnes,Irish War Cry,Boudicca,Hard Spun,2025-09-05,LRL,5 1/2F,Turf-Firm,1:03.80,5,79,LRL SOC (09/05/2025-R4)
1,12,Collected Dreams,4,Filly,Active,Madel Consuelo Gonzalez,Monica McGoey,Brereton C. Jones,Collected,Joyful Dreams,Kitten's Joy,2025-09-12,CT,6 1/2F,Dirt-Fast,1:21.65,6,48,CT ALW (09/12/2025-R7)
2,1,Pippin the WarriorMadefromlucky,,,,,,,,,,,,,,,,,
2,2,El Papacito,2,Gelding,Active,CBC Racing Stable,Somraj Singh,Dr. & Mrs. William E. Riddle Jr.,Echo Town,Hardrainsgonnafall,Hard Spun,2025-09-14,LRL,5 1/2F,Turf-Firm,1:04.47,4,58,Msw
2,3,Our Ham Sandwich,2,Colt,Active,Tanterra Stables,Kieron Magee,Country Life Farm & Starr of Quality LLC,Improbable,Starr Of Quality,First Dude,2025-09-13,CNL,5 1/2F,Turf-Firm,1:03.44,8,63,Mdnoc
2,4,Golden Sand,2,Colt,Active,"William B. Bayne, Jr.",Claudio A. Gonzalez,Richard Price & Adina Price,Golden Lad,Sandvika,Elnadim,2025-09-13,LRL,5 1/2F,Dirt-Fast,1:06.56,2,87,Mcl
2,5,Golden KidGolden Years,,,,,,,,,,,,,,,,,
2,6,Hard Freeze,2,Colt,Active,"Kernan, Jr., Morris E. and Jagger, Inc.",Jamie Ness,,Hard Spun,[Add Data],[Add Data],2025-09-06,LRL,5 f,Dirt-Fast,0:59.79,4,84,LRL MSW (09/06/2025-R5)
2,7,Pencil Me In,2,Gelding,Active,"Hacker, Gary, Price, Eric, D'Camera, Dean, Chambers, Jim and N R S Stable",Timothy L. Keefe,,Hoppertunity,Pay The Lady,Not For Love,2025-09-06,LRL,5 f,Dirt-Fast,0:59.79,6,79,LRL MSW (09/06/2025-R5)
3,1,Ecliptical Gina,3,Filly,Active,Maria Montez Haire,Flint W. Stites,Maria M Haire,Eclipticalspraline,Holiday Hopes,Harlan's Holiday,2025-09-07,LRL,1 1/16M,Turf-Good,1:45.95,3,88,LRL SOC (09/07/2025-R5)
3,2,Canadian Bear,3,Filly,Active,Gokmen Kaya,Kieron Magee,Dr. & Mrs. Thomas Bowman,Cupid,Include A Check,Include,2025-09-13,DEL,1M 70Y,Turf-Firm,1:43.12,4,81,DEL CLM (09/13/2025-R8)
3,3,Practical Romance,3,Filly,Active,Michael J. Ryan,Brittany T. Russell,Erin Corners Bloodstock,Practical Joke,Valentines Romance,Arch,2025-08-30,CNL,1 1/8 m,Turf-Firm,1:51.16,1,91,CNL MCL (08/30/2025-R4)
3,4,Octet,3,Filly,Active,"Spinazzola, Anthony and Nicolby Racing Stable LLC",Mark V. Salvaggio,,Mendelssohn,Too Much Malibu,[Add Data],2025-09-11,PEN,1M 70Y,Turf-Firm,1:42.17,1,66,PEN MCL (09/11/2025-R3)
3,5,Bella Estrela,4,Filly,Active,Conti Racing Stable LLC,Keri Brion,Madeline Auerbach,Collected,Miraculously,Hat Trick,2025-09-10,CNL,1 m,Turf-Good,1:38.23,4,88,CNL CLM (09/10/2025-R8)
3,6,Fabia,3,Filly,Active,"Bonuccelli Racing and Smith, Hamilton A.",Hamilton A. Smith,Franklin G. Smith Sr.,Done Talking,Theatricality,Purim,2025-09-07,LRL,1 1/16M,Turf-Good,1:45.95,6,83,LRL SOC (09/07/2025-R5)
3,7,Happy This Day,3,Filly,Active,Warning Drums Racing LLC,Milan Milosevic,"Warning Drums Racing, LLC",Runhappy,No Satis Action,Action This Day,2025-08-28,CNL,1 1/16M,Turf-Firm,1:43.56,1,92,CNL MCL (08/28/2025-R2)
3,8,Steam Knot,4,Filly,Active,Twin Oaks Bloodstock LLC,Susan S. Cooney,Sheltowee Farm & Mariah ThoroughbredsLLC & Kitten's Joy Syndicate,Kitten's Joy,Cherry Point,Point Given,2025-09-01,CNL,5 1/2F,Turf-Firm,1:03.39,7,62,CNL CLM (09/01/2025-R6)
3,9,Infastuation,3,Filly,Active,"Stoneybrook Farm Trust and Potash, Edward C.",Linda L. Albert,H & H Farms,The Factor,Tiz My Love,Tiz Wonderful,2025-09-12,LRL,6 f,Dirt-Fast,1:12.66,2,93,LRL CLM (09/12/2025-R9)
3,10,Queen Rocket,5,Mare,Active,Swat Stable,Michael Charles Aro,Robert V. LaPenta,Tapwrit,Gabeira,Medaglia d'Oro,2025-09-07,LRL,1 1/16M,Turf-Good,1:45.46,1,96,LRL MCL (09/07/2025-R9)
3,11,Scholar,3,Filly,Active,Day At The Races LLC,Michael J. Trombetta,Anastasie Astrid Christiansen-Croy,Yoshida,Shiori,Twirling Candy,2025-09-07,LRL,1 1/16M,Turf-Good,1:45.95,5,86,LRL SOC (09/07/2025-R5)
3,12,Learning to Fly,4,Filly,Active,Dark Horse Racing Stable,Keri Brion,,Justify,Ennis Hill,[Add Data],2025-09-07,LRL,1 1/16M,Turf-Good,1:45.95,4,89,LRL SOC (09/07/2025-R5)
4,1,Gotta Be Da Shoes,3,Filly,Active,David Benjamin Bloom,Damon R. Dilodovico,,Holy Boss,Sensible Shoes,Songandaprayer,2025-09-06,LRL,5 1/2F,Turf-Firm,1:04.92,2,60,LRL MCL (09/06/2025-R9)
