track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
santa-anita,1,1,1,Tiger of the Sea,52,Smiling Tiger,Brian J. KorinerDiego A. Herrera,4/1
santa-anita,1,2,2,Dialing Destiny,60,Texas Ryano,Peter MillerPaco Lopez,12/1
santa-anita,1,3,3,Mia Pia,64,Surf Cat,Karen HeadleyKyle Frey,15/1
santa-anita,1,4,4,Surfin Candy,76,Danzing Candy,Sean McCarthyWilliam Antongeorgi III,20/1
santa-anita,1,5,5,Mendelssohns Angel,54,Mendelssohn,Brendan W. GalvinJuan J. Hernandez,8/1
santa-anita,1,6,6,Pavel's Etoile,81,Pavel,Antonio C. GarciaArmando Ayuso,10/1
santa-anita,1,7,7,Cash's Candy,,,Anthony K. SaavedraAbel Lezcano,30/1
santa-anita,1,8,8,Della Terra,89,Clubhouse Ride,Mark GlattUmberto Rispoli,2/1
santa-anita,1,9,9,Naturally Blonde,62,Practical Joke,Jeff MullinsHector Isaac Berrios,7/2
santa-anita,1,10,10,Sally's Wish,115,Vronsky,D. Wayne BakerSerafin Carmona,20/1
santa-anita,1,11,11,Sparta F. C.,95,Astern (AUS),Jeff MullinsTyler Baze,20/1
santa-anita,2,1,1,Lawless World,107,World of Trouble,Adan FariasKyle Frey,10/1
santa-anita,2,2,2,Miracle Mark,108,Constitution,Philip D'AmatoKazushi Kimura,2/1
santa-anita,2,3,3,Berlin Wall,99,Practical Joke,Steve R. KnappTiago Josue Pereira,9/2
santa-anita,2,4,4,Code Duello,125,Honor Code,Craig DollaseEdgar Payeras,6/1
santa-anita,2,5,5,Ghost of Midnight,112,Ghostzapper,Mark GlattAbel Lezcano,5/2
santa-anita,2,6,6,Grubauer,105,Frosted,Tim McCannaDavid Cohen,7/2
santa-anita,3,1,1,Tammy Baby,62,Tamarando,Jeff BondeKyle Frey,10/1
santa-anita,3,2,2,Jacklyn Lucas,71,Grazen,Steven MiyadiJuan J. Hernandez,3/1
santa-anita,3,3,3,Billie Holiday,68,Grazen,Steven MiyadiArmando Aguilar,4/1
santa-anita,3,4,4,Final Table Lady,,Stay Thirsty,Jorge PeribanWilliam Antongeorgi III,5/1
santa-anita,3,5,5,Cashed,82,I'll Have Another,Doug F. O'NeillUmberto Rispoli,7/5
santa-anita,3,6,6,Cash in Toknight,67,Pavel,Doug F. O'NeillAbel Lezcano,6/1
santa-anita,4,1,1,Zio Jo,118,Nyquist,Doug F. O'NeillMirco Demuro,10/1
santa-anita,4,2,2,Scoobie Quando,122,Uncle Mo,Michael W. McCarthyKazushi Kimura,20/1
santa-anita,4,3,3,Johannes,121,Nyquist,Tim YakteenUmberto Rispoli,1/1
santa-anita,4,4,4,Final Boss,109,American Pharoah,John W. SadlerJuan J. Hernandez,4/1
santa-anita,4,5,5,Almendares,123,(123)Havana Grey (GB),Philip D'AmatoAntonio Fresu,3/1
