horse_name,race_number,program_number,race_date,track,distance,surface,time,finish_position
Tiger of the Sea,1,1,2025-09-27,SA,6F,Turf-Firm,1:08.61,3
Dialing Destiny,1,2,2025-09-27,SA,6F,Turf-Firm,1:08.61,6
Mia Pia,1,3,2025-09-27,SA,6F,Turf-Firm,1:08.61,5
Surfin Candy,1,4,2025-09-27,SA,6F,Turf-Firm,1:08.61,11
Mendelssohns Angel,1,5,2025-09-27,SA,6F,Turf-Firm,1:08.61,1
Pavel's Etoile,1,6,2025-09-27,SA,6F,Turf-Firm,1:08.61,2
Della Terra,1,8,2025-09-27,SA,6F,Turf-Firm,1:08.61,4
Naturally Blonde,1,9,2025-09-27,SA,6F,Turf-Firm,1:08.61,9
Sally's Wish,1,10,2025-09-27,SA,6F,Turf-Firm,1:08.61,7
Sparta F. C.,1,11,2025-09-27,SA,6F,Turf-Firm,1:08.61,10
Lawless World,2,1,2025-09-27,SA,6F,Dirt-Fast,1:09.48,3
Miracle Mark,2,2,2025-09-27,SA,6F,Dirt-Fast,1:09.48,5
Berlin Wall,2,3,2025-09-27,SA,6F,Dirt-Fast,1:09.48,2
Code Duello,2,4,2025-09-27,SA,6F,Dirt-Fast,1:09.48,6
Ghost of Midnight,2,5,2025-09-27,SA,6F,Dirt-Fast,1:09.48,1
Grubauer,2,6,2025-09-27,SA,6F,Dirt-Fast,1:09.48,4
Tammy Baby,3,1,2025-09-27,SA,6F,Dirt-Fast,1:11.73,4
Jacklyn Lucas,3,2,2025-09-27,SA,6F,Dirt-Fast,1:11.73,2
Billie Holiday,3,3,2025-09-27,SA,6F,Dirt-Fast,1:11.73,3
Final Table Lady,3,4,2025-09-27,SA,6F,Dirt-Fast,1:11.73,5
Cashed,3,5,2025-09-27,SA,6F,Dirt-Fast,1:11.73,1
Cash in Toknight,3,6,2025-09-21,LRC,5 1/2F,Dirt-Fast,1:04.38,4
Zio Jo,4,1,2025-09-27,SA,1 m,Turf-Firm,1:34.13,4
Scoobie Quando,4,2,2025-09-27,SA,1 m,Turf-Firm,1:34.13,5
Johannes,4,3,2025-09-27,SA,1 m,Turf-Firm,1:34.13,1
Final Boss,4,4,2025-09-27,SA,1 m,Turf-Firm,1:34.13,6
Almendares,4,5,2025-09-27T00:00:00Z,SA,1 mile,Turf,1:34.13,3rd
Cabo Spirit,4,6,2025-09-27,SA,1 m,Turf-Firm,1:34.13,2
Provenance,5,1,2025-09-27,SA,6F,Dirt-Fast,1:10.40,1
Plagarist,5,5,2025-09-27,SA,6F,Dirt-Fast,1:10.40,2
Rastaman Vibe,6,1,2025-09-27,SA,1 1/4 m,Turf-Firm,1:58.74,7
Balladeer,6,2,2025-09-27,SA,1 1/4 m,Turf-Firm,1:58.74,5
Spycatcher,6,3,2025-08-09T00:00:00Z,CUR,6 f,Turf,1:08.91,9th
Dicey Mo Chara,6,4,2025-09-27,SA,1 1/4 m,Turf-Firm,1:58.74,6
Mondego,6,5,2025-09-27T00:00:00Z,SA,1  1/4 m,Turf,1:58.74,4th
Stay Hot,6,6,2025-09-27,SA,1 1/4 m,Turf-Firm,1:58.74,2
Gold Phoenix,6,7,2025-09-27,SA,1 1/4 m,Turf-Firm,1:58.74,1
Kahuna Magic,7,1,2025-09-27,SA,6F,Dirt-Fast,1:09.97,2nd
Major Tom,7,2,2025-09-27,SA,6F,Dirt-Fast,1:09.97,4th
Supernal,7,3,2025-08-30,DMR,1 m,Turf-Firm,1:35.67,10
Devil Among Us,7,4,2025-09-27,SA,6F,Dirt-Fast,1:09.97,5th
Raging Waters,7,5,2025-09-27,SA,6F,Dirt-Fast,1:09.97,6th
Hot Box,7,6,2025-09-27,SA,6F,Dirt-Fast,1:09.97,8th
Four O Six Creed,7,7,2025-09-27,SA,6F,Dirt-Fast,1:09.97,1st
Ballyvaughan Gig,7,8,2025-09-27,SA,6F,Dirt-Fast,1:09.97,7th
Tiger in My Tank,7,9,2025-09-27,SA,6F,Dirt-Fast,1:09.97,3rd
Reef Runner,8,1,2025-08-30,DMR,5 f,Turf-Firm,0:55.90,2
Nesso's Lastharrah,8,2,2025-08-15,DMR,1 m,Turf-Firm,1:35.55,1
Mucho Del Oro,8,3,2025-07-20,DMR,6 1/2F,Dirt-Fast,1:15.92,5
Sorrento Sky,8,4,2024-12-01T00:00:00Z,DMR,5  f,Turf,0:56.32,2nd
Yellow Card,8,5,2025-08-23,DMR,5 f,Turf-Firm,0:57.00,1
Beyond Brilliant,8,6,2025-08-30,DMR,5 f,Turf-Firm,0:55.90,3
Kale's Angel,8,7,2025-07-18,DMR,1 m,Turf-Firm,1:36.32,8
First Peace,8,8,2025-08-30,DMR,5 f,Turf-Firm,0:55.90,11
Gaming,9,1,2025-08-31,DMR,1 m,Dirt-Fast,1:35.12,3
Ultimate Gamble,9,2,2025-08-30,DMR,1 1/4 m,Dirt-Fast,2:01.00,3
Privman,9,3,2025-08-09,DMR,1 m,Dirt-Fast,1:36.35,1
First Mission,9,4,2025-08-16,MTH,1 1/16M,Dirt-Fast,1:44.27,2
Nevada Beach,9,5,2025-06-28,LRC,1 1/8 m,Dirt-Fast,1:47.59,1
Express Train,9,6,2025-08-23,DMR,7 f,Dirt-Fast,1:21.53,3
Full Serrano,9,7,2025-09-01,DMR,1 m,Dirt-Fast,1:35.11,1
Warming,10,1,2024-01-04T00:00:00Z,NCS,6 f,Synthetic,1:17.87,3rd
Practical Dream,10,2,2025-07-24,DMR,6F,Dirt-Fast,1:09.73,4
Schilflied,10,3,2025-07-26,DMR,5 f,Turf-Firm,0:56.88,8
Innovative,10,4,2025-08-09,DMR,1 m,Turf-Firm,1:35.47,1
Lee's Baby Girl,10,5,2025-09-05,DMR,5 f,Turf-Firm,0:57.45,1
Casalu,10,6,2025-08-16,DMR,1 1/8 m,Turf-Firm,1:48.45,8
Donttellourwives,10,7,2025-08-24,DMR,6 1/2F,Dirt-Fast,1:15.44,4
Favor to You,10,8,2025-08-11,ELP,5 1/2F,Turf-Firm,1:01.50,3
Eiffel,10,9,2025-09-01,DMR,1 1/16M,Turf-Firm,1:43.50,8
A Thousand Miles,10,10,2025-08-30,DMR,1 m,Dirt-Fast,1:36.99,7
Wink and a Grin,10,11,2025-08-17,DMR,1 m,Turf-Firm,1:34.92,4
Tight Squeeze,10,12,2025-09-05,DMR,5 f,Turf-Firm,0:57.45,3
Miso Phansy,10,13,2025-08-21,DMR,1 m,Dirt-Fast,1:38.25,3
