track_name,race_date,race_number,post_time,distance,surface,purse,race_type,total_entries,has_results
santa-anita,"Sunday, September 28, 2025",1,1:00 PM,1 m,Turf,"60,000","1 m,
Turf,
Maiden Special WeightOpen | 3 To 5 Year OldsPurse: $60,000",11,False
santa-anita,"Sunday, September 28, 2025",2,1:30 PM,6 1/2F,Dirt,"35,000","6 1/2F,
Dirt,
$62,500 Maiden Optional ClaimingFillies & Mares | 3 To 5 Year OldsPurse: $35,000",5,False
santa-anita,"Sunday, September 28, 2025",3,2:02 PM,1 m,Dirt,"17,000","1 m,
Dirt,
$8,000 ClaimingFillies & Mares | 3 Year Olds And UpPurse: $17,000",4,False
santa-anita,"Sunday, September 28, 2025",4,2:33 PM,6 f,Turf,"61,000","6 f,
Turf,
$50,000 Allowance Optional ClaimingFillies & Mares | 3 Year Olds And UpPurse: $61,000",10,False
santa-anita,"Sunday, September 28, 2025",5,3:06 PM,6 f,Dirt,"26,000","6 f,
Dirt,
$25,000 ClaimingFillies & Mares | 3 Year Olds And UpPurse: $26,000",9,False
santa-anita,"Sunday, September 28, 2025",6,3:38 PM,6 f,Turf,"60,000","6 f,
Turf,
Maiden Special WeightOpen | 2 Year OldsPurse: $60,000",12,False
santa-anita,"Sunday, September 28, 2025",7,4:08 PM,1 1/16M,Dirt,"200,000","1 1/16M,
Dirt,
Zenyatta S.Fillies & Mares | 3 Year Olds And UpPurse: $200,000",5,False
santa-anita,"Sunday, September 28, 2025",8,4:38 PM,1 m,Turf,"61,000","1 m,
Turf,
$20,000 Allowance Optional ClaimingFillies & Mares | 3 Year Olds And UpPurse: $61,000",14,False
santa-anita,"Sunday, September 28, 2025",9,5:08 PM,6 f,Dirt,"200,000","6 f,
Dirt,
Santa Anita Sprint Championship S. presented by Estrella JaliscoOpen | 3 Year Olds And UpPurse: $200,000",8,False
santa-anita,"Sunday, September 28, 2025",10,5:38 PM,1 m,Turf,"61,000","1 m,
Turf,
$100,000 Allowance Optional ClaimingFillies | 3 Year OldsPurse: $61,000",14,False
