horse_name,race_number,program_number,surface,distance,time,performance_score,raw_score,surface_factor,distance_factor,track,date,valid_calculation
Ade,1,1,,,,,,,,laurel-park,2025-09-28,False
Respect the Law,1,2,,,,,,,,laurel-park,2025-09-28,False
Running Rio,1,3,,,,,,,,laurel-park,2025-09-28,False
Beyond Question,1,4,,,,,,,,laurel-park,2025-09-28,False
A P M Notion,1,5,,,,,,,,laurel-park,2025-09-28,False
Ariel Moon,1,6,,,,,,,,laurel-park,2025-09-28,False
Granuaile,1,7,,,,,,,,laurel-park,2025-09-28,False
Ms. Laobanniang,1,8,,,,,,,,laurel-park,2025-09-28,False
Sweet Honey Bee,1,9,,,,,,,,laurel-park,2025-09-28,False
Query,1,10,,,,,,,,laurel-park,2025-09-28,False
Born Charmer,1,11,,,,,,,,laurel-park,2025-09-28,False
Collected Dreams,1,12,,,,,,,,laurel-park,2025-09-28,False
Pippin the WarriorMadefromlucky,2,1,,,,,,,,laurel-park,2025-09-28,False
El Papacito,2,2,,,,,,,,laurel-park,2025-09-28,False
Our Ham Sandwich,2,3,,,,,,,,laurel-park,2025-09-28,False
Golden Sand,2,4,,,,,,,,laurel-park,2025-09-28,False
Golden KidGolden Years,2,5,,,,,,,,laurel-park,2025-09-28,False
Hard Freeze,2,6,,,,,,,,laurel-park,2025-09-28,False
Pencil Me In,2,7,,,,,,,,laurel-park,2025-09-28,False
Ecliptical Gina,3,1,,,,,,,,laurel-park,2025-09-28,False
Canadian Bear,3,2,,,,,,,,laurel-park,2025-09-28,False
Practical Romance,3,3,,,,,,,,laurel-park,2025-09-28,False
Octet,3,4,,,,,,,,laurel-park,2025-09-28,False
Bella Estrela,3,5,,,,,,,,laurel-park,2025-09-28,False
Fabia,3,6,,,,,,,,laurel-park,2025-09-28,False
Happy This Day,3,7,,,,,,,,laurel-park,2025-09-28,False
Steam Knot,3,8,,,,,,,,laurel-park,2025-09-28,False
Infastuation,3,9,,,,,,,,laurel-park,2025-09-28,False
Queen Rocket,3,10,,,,,,,,laurel-park,2025-09-28,False
Scholar,3,11,,,,,,,,laurel-park,2025-09-28,False
Learning to Fly,3,12,,,,,,,,laurel-park,2025-09-28,False
Gotta Be Da Shoes,4,1,,,,,,,,laurel-park,2025-09-28,False
Tierra Santa,4,2,,,,,,,,laurel-park,2025-09-28,False
Feel the Bolt,4,3,,,,,,,,laurel-park,2025-09-28,False
Littlegirljustice,4,4,,,,,,,,laurel-park,2025-09-28,False
God Willing,4,5,,,,,,,,laurel-park,2025-09-28,False
Valerie Street,4,6,,,,,,,,laurel-park,2025-09-28,False
LadsfirstloveGolden Lad,4,7,,,,,,,,laurel-park,2025-09-28,False
Spirit and Truth,4,8,,,,,,,,laurel-park,2025-09-28,False
Issano,5,1,,,,,,,,laurel-park,2025-09-28,False
Twice Gold,5,2,,,,,,,,laurel-park,2025-09-28,False
Bad Boy Blaze,5,3,,,,,,,,laurel-park,2025-09-28,False
Box of Rockets,5,4,,,,,,,,laurel-park,2025-09-28,False
Skylar's Brother,5,5,,,,,,,,laurel-park,2025-09-28,False
Candycrumbs,5,6,,,,,,,,laurel-park,2025-09-28,False
Who Says So,5,7,,,,,,,,laurel-park,2025-09-28,False
Repeatingofcourse,5,8,,,,,,,,laurel-park,2025-09-28,False
Buthespretty,5,9,,,,,,,,laurel-park,2025-09-28,False
Long Straw,6,1,,,,,,,,laurel-park,2025-09-28,False
Chimney Sweep,6,2,,,,,,,,laurel-park,2025-09-28,False
Thunder Cry,6,3,,,,,,,,laurel-park,2025-09-28,False
Summerinthecountry,6,4,,,,,,,,laurel-park,2025-09-28,False
Serendipitymonday,6,5,,,,,,,,laurel-park,2025-09-28,False
Katmandu,6,6,,,,,,,,laurel-park,2025-09-28,False
Stanza,6,7,,,,,,,,laurel-park,2025-09-28,False
Bald Cypress,6,8,,,,,,,,laurel-park,2025-09-28,False
Star AtlasLiam's Map,6,9,,,,,,,,laurel-park,2025-09-28,False
Luca Machine,6,10,,,,,,,,laurel-park,2025-09-28,False
Danner,6,11,,,,,,,,laurel-park,2025-09-28,False
The Commish,6,12,,,,,,,,laurel-park,2025-09-28,False
Showpiece,6,13,,,,,,,,laurel-park,2025-09-28,False
Where's Ray,7,1,,,,,,,,laurel-park,2025-09-28,False
Big Z Og,7,2,,,,,,,,laurel-park,2025-09-28,False
Speed Figures,7,3,,,,,,,,laurel-park,2025-09-28,False
Tidewater,7,4,,,,,,,,laurel-park,2025-09-28,False
Monsieur Candy,7,5,,,,,,,,laurel-park,2025-09-28,False
Uncle Cat,7,6,,,,,,,,laurel-park,2025-09-28,False
Tenebris,7,7,,,,,,,,laurel-park,2025-09-28,False
Quick Tempo,7,8,,,,,,,,laurel-park,2025-09-28,False
Bolt of Aurum,7,9,,,,,,,,laurel-park,2025-09-28,False
Uncle Dar,7,10,,,,,,,,laurel-park,2025-09-28,False
Saxton,7,11,,,,,,,,laurel-park,2025-09-28,False
Swill,7,12,,,,,,,,laurel-park,2025-09-28,False
Take a Hint,7,13,,,,,,,,laurel-park,2025-09-28,False
Nothing Better,7,14,,,,,,,,laurel-park,2025-09-28,False
