track_name,race_date,race_number,post_time,distance,surface,purse,race_type,total_entries,has_results
woodbine,"Sunday, September 28, 2025",1,1:05 PM,1 m,Turf,"65,700","1 m,
Inner turf,
$40,000 Maiden Optional ClaimingOpen | 2 Year OldsPurse: $65,700",7,False
woodbine,"Sunday, September 28, 2025",2,1:40 PM,7 f,,"52,400","7 f,
All Weather Track,
$25,000 ClaimingOpen | 3 Year Olds And UpPurse: $52,400",9,False
woodbine,"Sunday, September 28, 2025",3,2:15 PM,7 1/2F,Turf,"63,800","7 1/2F,
Inner turf,
$40,000 Optional ClaimingFillies & Mares | 3 Year Olds And UpPurse: $63,800",6,False
woodbine,"Sunday, September 28, 2025",4,2:49 PM,7 f,,"49,200","7 f,
All Weather Track,
$25,000 Maiden Optional ClaimingOpen | 2 Year OldsPurse: $49,200",8,False
woodbine,"Sunday, September 28, 2025",5,3:23 PM,7 f,,"65,700","7 f,
All Weather Track,
$40,000 Maiden Optional ClaimingOpen | 3 Year Olds And UpPurse: $65,700",9,False
woodbine,"Sunday, September 28, 2025",6,3:57 PM,7 1/2F,Turf,"120,700","7 1/2F,
Inner turf,
$80,000 Allowance Optional ClaimingOpen | 3 Year Olds And UpPurse: $120,700",9,False
woodbine,"Sunday, September 28, 2025",7,4:31 PM,7 f,,"115,100","7 f,
All Weather Track,
Maiden Special WeightOpen | 2 Year OldsPurse: $115,100",9,False
woodbine,"Sunday, September 28, 2025",8,5:05 PM,7 f,,"114,600","7 f,
All Weather Track,
$32,000 Allowance Optional ClaimingOpen | 3 Year Olds And UpPurse: $114,600",10,False
woodbine,"Sunday, September 28, 2025",9,5:39 PM,1 1/2 m,Turf,"400,000","1 1/2 m,
Inner turf,
Breeders' S.Open | 3 Year OldsPurse: $400,000",9,False
woodbine,"Sunday, September 28, 2025",10,6:10 PM,6 f,,"117,600","6 f,
All Weather Track,
$50,000 Allowance Optional ClaimingOpen | 3 Year Olds And UpPurse: $117,600",8,False
woodbine,"Sunday, September 28, 2025",11,6:40 PM,7 f,,"63,800","7 f,
All Weather Track,
$40,000 Optional ClaimingOpen | 3 Year Olds And UpPurse: $63,800",10,False
