track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
woodbine,1,1,1,Holy MirageMitole,,,Kevin AttardPietro Moran,2/1
woodbine,1,2,2,Balboni's Crew,64,Society's Chairman,Steven ChircopJose Luis Campos,8/1
woodbine,1,3,3,Fire and Wine,84,Lexitonian,Zeljko KrcmarSlade Jones,4/1
woodbine,1,4,4,Full Star,61,Midnight Lute,Daniel S. HarveyJodeien Anderson,10/1
woodbine,1,5,5,SanhedrinImprobable,,,Tino AttardRafael Manuel Hernandez,3/1
woodbine,1,6,6,Holy Rambo,43,Shaman Ghost,Kevin AttardEswan Flores,8/1
woodbine,1,7,7,Amore Mio,73,Cupid,Pat ParenteXarel Forde,6/1
woodbine,2,1,1,Conacher,92,Maximum Security,Dominic J. PolsinelliKeveh Nicholls,12/1
woodbine,2,2,2,American Decision,93,American Pharoah,Sid C. AttardRyan Munger,7/2
woodbine,2,3,3,Isaac Leo,74,Outwork,Ronald H. SadlerRafael Manuel Hernandez,8/1
woodbine,2,4,4,Prime Plus One,92,Gamble's Exchange,Alexander P. PatykewichAustin Adams,20/1
woodbine,2,5,5,Blondina's Boy,89,Seattle Serenade,Eric M. RaghunathJose Luis Campos,20/1
woodbine,2,6,6,Ethnic Soul,93,Tourist,L. Rodney BarrowSlade Jones,6/1
woodbine,2,7,7,Good King Sam,85,Good Samaritan,Stuart C. SimonPietro Moran,3/1
woodbine,2,8,8,Globetrotting,92,Liam's Map,Patrick DixonLeo Salles,10/1
woodbine,2,9,9,Countryboysurvive,110,Audible,Sid C. AttardEswan Flores,5/2
woodbine,3,1,1,Blameless Ghost,93,Ghostzapper,Peter BerringerJose Luis Campos,8/1
woodbine,3,2,2,Bedazzle Me,91,Frac Daddy,Anthony PottingerDavid Moran,6/1
woodbine,3,3,3,Ella It Is,73,Point of Entry,Mark E. CassePietro Moran,2/1
woodbine,3,4,4,Miss Pierre,100,Souper Speedy,John A. CoryatJeffrey Ian Alderson,10/1
woodbine,3,5,5,Go Giffen,99,Souper Speedy,Richard G. HayashiRyan Munger,5/2
woodbine,3,6,6,Magical Trick,91,Danish Dynaformer,William TharrenosRafael Manuel Hernandez,3/1
woodbine,4,1,1,Category FiveMaximum Security,,,Tino AttardRafael Manuel Hernandez,7/2
woodbine,4,2,2,Quadzilla,64,Souper Speedy,John MattineAustin Adams,5/2
woodbine,4,3,3,Celestial HeartBond Street,,,Tino AttardLeo Salles,10/1
woodbine,4,4,4,Fog d'Oro,59,Fog of War,Devon GittensEswan Flores,12/1
woodbine,4,5,5,Hot Potato,66,Gunnevera,Abraham R. KatryanDaisuke Fukumoto,10/1
woodbine,4,6,6,Digital Security,64,Maximum Security,Steven ChircopJose Luis Campos,3/1
woodbine,4,7,7,Dri Saddle,59,Thousand Words,Philip HallKeveh Nicholls,8/1
woodbine,4,8,8,Rainbows HeroPoint of Entry,,,Norman McKnightXarel Forde,6/1
woodbine,5,1,1,Gone Hunting,93,Gun Runner,Dale A. DesruisseauxRafael Manuel Hernandez,3/1
woodbine,5,2,2,Bee Me,91,Bee Jersey,Krista ColeKeveh Nicholls,8/1
woodbine,5,3,3,Red Weaver,89,Signature Red,Robert P. TillerDaisuke Fukumoto,6/1
woodbine,5,4,4,Reloaded FormReload,,,L. Rodney BarrowDa-Sean Zavier Gaskin,20/1
woodbine,5,5,5,Scant's DynaformerDanish Dynaformer,,,Anthony PottingerJalon L. Samuel,20/1
woodbine,5,6,6,Strawberry Again,70,Prime Attraction,Tedston HolderJose Luis Campos,20/1
woodbine,5,7,7,Signature Sir,94,Signature Red,Darwin D. BanachSahin Civaci,4/1
woodbine,5,8,8,Wild Card,94,Silent Name (JPN),Julia CareyXarel Forde,10/1
woodbine,5,9,9,Highly Potent,92,War of Will,Mark E. CassePietro Moran,5/2
