race_number,program_number,horse_name,latest_surface,latest_distance,latest_time
1,1,Holy MirageMitole,,,
1,2,Balboni's Crew,Synth-Fast,7 f,1:23.67
1,3,Fire and Wine,Synth-Fast,7 f,1:23.67
1,4,Full Star,Synth-Fast,6 1/2F,1:19.18
1,5,SanhedrinImprobable,,,
1,6,Holy Rambo,Synth-Fast,6 1/2F,1:18.72
1,7,Amore Mio,Synth-Fast,7 f,1:23.67
2,1,Conacher,Synth-Fast,6 1/2F,1:17.78
2,2,American Decision,Turf-Firm,1 1/16M,1:44.30
2,3,Isaac Leo,Synth-Fast,6 1/2F,1:17.90
2,4,Prime Plus One,Synth-Fast,6 1/2F,1:17.78
2,5,Blondina's Boy,Turf-Firm,1 1/16M,1:44.30
2,6,Ethnic Soul,Turf-Good,7 1/2F,1:30.70
2,7,Good King Sam,Turf-Firm,1 1/16M,1:44.44
2,8,Globetrotting,Synth-Fast,7 f,1:24.60
2,9,Countryboysurvive,Synth-Fast,7 f,1:23.72
3,1,Blameless Ghost,Turf-Firm,6 1/2F,1:15.12
3,2,Bedazzle Me,Turf-Good,6 f,1:09.85
3,3,Ella It Is,Synth-Fast,1 1/8 m,1:50.14
3,4,Miss Pierre,Dirt-Fast,6 1/2F,1:16.43
3,5,Go Giffen,Synth-Fast,6 1/2F,1:16.82
3,6,Magical Trick,Synth-Fast,7 f,1:24.94
4,1,Category FiveMaximum Security,,,
4,2,Quadzilla,Synth-Fast,6 1/2F,1:19.18
4,3,Celestial HeartBond Street,,,
4,4,Fog d'Oro,Synth-Fast,6 1/2F,1:19.18
4,5,Hot Potato,Turf-Firm,1 1/16M,1:45.45
4,6,Digital Security,Synth-Fast,6 1/2F,1:19.18
4,7,Dri Saddle,Synthetic,6 1/2 f,1:17.33
4,8,Rainbows HeroPoint of Entry,,,
5,1,Gone Hunting,Turf-Firm,7 1/2F,1:30.61
5,2,Bee Me,Synth-Fast,6 1/2F,1:17.96
5,3,Red Weaver,Synth-Fast,6 f,1:11.14
5,4,Reloaded FormReload,,,
5,5,Scant's DynaformerDanish Dynaformer,,,
5,6,Strawberry Again,,,
5,7,Signature Sir,Synth-Fast,6 1/2F,1:17.96
5,8,Wild Card,Synth-Fast,1 1/16M,1:45.80
5,9,Highly Potent,Turf-Firm,7 1/2F,1:30.61
6,1,Hunt Master,Turf-Firm,1 m,1:35.33
6,2,Awesome Bourbon,Turf-Firm,1 m,1:35.45
6,3,Never Surprised,Turf-Firm,1 1/4 m,1:59.38
6,4,Piper's Factor,Turf-Firm,1 m,1:33.85
6,5,Ice Chocolat,Synthetic,6 1/2 f,1:15.42
6,6,Rapid Test,Synth-Fast,1 1/16M,1:43.45
6,7,War Strategy,Turf-Firm,1 m,1:33.85
6,8,Reload's Rascal,Synth-Fast,6 f,1:09.13
6,9,Souped Up,Synth-Fast,6 1/2F,1:16.71
7,1,El CapoAuthentic,,,
7,2,Speights Will,Turf-Firm,1 m,1:38.23
7,3,Gelato,Turf,6 f,1:12.89
7,4,Catch the AceAstern,,,
7,5,Ideologist,Turf-Firm,7 f,1:23.19
7,6,Instant Response,Turf-Firm,5 f,0:56.54
7,7,Apeldoorn,Synth-Fast,6 1/2F,1:17.51
7,8,Fleet of FootCupid,,,
7,9,Wonderful QualityEssential Quality,,,
8,1,Deputy Daddy,Dirt-Fast,6 1/2F,1:17.32
8,2,Hanlan,Synth-Fast,6 f,1:10.52
8,3,Mannix,Turf-Firm,1 1/16M,1:43.30
8,4,Indian Peak,Synth-Fast,6 1/2F,1:15.68
8,5,Pat's Gamble,Synth-Fast,6 f,1:10.52
8,6,Dark Screen,Dirt-Fast,6 1/2F,1:17.32
8,7,Last American Exit,Synth-Fast,6 1/2F,1:15.68
8,8,Armstrong,Synth-Fast,6 f,1:10.80
8,9,Friendly Ghost,Synth-Fast,7 f,1:21.82
8,10,Summer Commander,Synth-Fast,7 f,1:21.82
9,1,Scat Girl,Turf-Firm,1 1/16M,1:42.36
9,2,D'aurum,Synth-Fast,1 1/16M,1:43.83
9,3,Borealis Trail,Turf-Firm,1 m,1:34.30
9,4,Ciunas,Turf-Firm,1 1/16M,1:44.44
9,5,Aristella,Turf-Firm,1 1/16M,1:42.36
9,6,Watsonville Red,Synth-Fast,1 1/4 m,2:03.68
9,7,Faber,Dirt-Fast,1 3/16 m,1:55.64
9,8,Sedburys Ghost,Synth-Fast,1 1/4 m,2:03.68
9,9,Tom's Magic,Synth-Fast,1 1/4 m,2:03.68
10,1,Runnin' Rocket,Synth-Fast,5 1/2F,1:02.28
10,2,Garden of War,Turf-Firm,1 m,1:36.19
10,3,Old Chestnut,Synth-Fast,6 1/2F,1:15.42
10,4,Babbo,Synth-Fast,6 1/2F,1:15.20
10,5,Giant Teddy,Turf-Firm,5 f,0:56.11
10,6,Rat Portage,Synth-Fast,6 f,1:10.52
10,7,Poseidon Steel,Synth-Fast,6 1/2F,1:15.20
10,8,Society's Thunder,Turf-Firm,6 1/2F,1:15.63
11,1,Daddy Has Diamonds,Synth-Fast,6 1/2F,1:16.39
11,2,Awesome Rainbow,Dirt-Fast,6 1/2F,1:17.32
11,3,Demba,Turf-Firm,6 f,1:08.92
11,4,Sunday's Well,Dirt-Fast,6 1/2F,1:17.32
11,5,Glasweigian,Turf-Firm,6 f,1:08.56
11,6,Dark Danger,Turf-Firm,6 1/2F,1:14.77
11,7,Paynes Spirit,Synth-Fast,6 1/2F,1:17.96
11,8,Philip Banks,Turf-Firm,6 f,1:07.62
11,9,Roar of the Crowd,Synth-Fast,6 f,1:11.40
11,10,Mymathes Correct,Dirt-Fast,6 f,1:10.90
