track_name,race_date,race_number,post_time,distance,surface,purse,race_type,total_entries,has_results
laurel-park,"Sunday, September 28, 2025",1,12:10 PM,5 1/2F,Turf,"24,000","5 1/2F,
Turf,
$16,000 Starter Optional ClaimingFillies & Mares | 3 Year Olds And UpPurse: $24,000",12,False
laurel-park,"Sunday, September 28, 2025",2,12:38 PM,1 m,Dirt,"41,000","1 m,
Dirt,
$45,000 Maiden ClaimingOpen | 2 Year OldsPurse: $41,000",7,False
laurel-park,"Sunday, September 28, 2025",3,1:06 PM,1 m,Turf,"24,000","1 m,
Turf,
$16,000 Starter Optional ClaimingFillies & Mares | 3 Year Olds And UpPurse: $24,000",12,False
laurel-park,"Sunday, September 28, 2025",4,1:40 PM,6 f,Dirt,"22,000","6 f,
Dirt,
$12,500 Maiden ClaimingFillies & Mares | 3 To 6 Year OldsPurse: $22,000",8,False
laurel-park,"Sunday, September 28, 2025",5,2:08 PM,6 f,Dirt,"22,000","6 f,
Dirt,
$12,500 ClaimingOpen | 3 Year Olds And UpPurse: $22,000",9,False
laurel-park,"Sunday, September 28, 2025",6,2:40 PM,5 1/2F,Turf,"41,000","5 1/2F,
Turf,
$45,000 Maiden ClaimingOpen | 3 To 6 Year OldsPurse: $41,000",13,False
laurel-park,"Sunday, September 28, 2025",7,3:12 PM,5 1/2F,Turf,"53,000","5 1/2F,
Turf,
$40,000 Allowance Optional ClaimingOpen | 3 Year Olds And UpPurse: $53,000",16,False
laurel-park,"Sunday, September 28, 2025",8,3:44 PM,1 m,Dirt,"49,000","1 m,
Dirt,
AllowanceFillies & Mares | 3 Year Olds And UpPurse: $49,000",6,False
laurel-park,"Sunday, September 28, 2025",9,4:16 PM,1 1/16M,Turf,"49,000","1 1/16M,
Turf,
AllowanceFillies & Mares | 3 Year Olds And UpPurse: $49,000",9,False
laurel-park,"Sunday, September 28, 2025",10,4:48 PM,5 1/2F,Turf,"24,000","5 1/2F,
Turf,
$16,000 Maiden ClaimingFillies & Mares | 3 To 6 Year OldsPurse: $24,000",16,False
