track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
laurel-park,1,1,1,Ade,101,Hoppertunity,Rodolfo Sanchez-SalomonTais Lyapustina,8/1
laurel-park,1,2,2,Respect the Law,63,Tiz the Law,Richard P. SillamanIsmerio Villalobos,15/1
laurel-park,1,3,3,Running Rio,95,Street Boss,Anthony FarriorJeiron Barbosa,7/5
laurel-park,1,4,4,Beyond Question,74,Street Magician,Michael J. TrombettaJorge Ruiz,10/1
laurel-park,1,5,5,A P M Notion,81,Great Notion,David R. MohanYomar Orlando Ortiz,30/1
laurel-park,1,6,6,Ariel Moon,83,Mosler,Michael J. TrombettaJevian Toledo,6/1
laurel-park,1,7,7,Granuaile,80,Holy Boss,Jose CorralesYedsit Hazlewood,9/2
laurel-park,1,8,8,Ms. Laobanniang,82,Laoban,Bruce M. KravetsCarlos Eduardo Lopez,8/1
laurel-park,1,9,9,Sweet Honey Bee,73,Golden Lad,Ashley SteesMatilda Burnham,30/1
laurel-park,1,10,10,Query,81,Great Notion,Erin C. McClellanJohan Rosado,12/1
laurel-park,1,11,11,Born Charmer,79,Irish War Cry,Gregory L. WilsonJean Gregor Briceno,30/1AE
laurel-park,1,12,12,Collected Dreams,48,Collected,Monica McGoeySebastian Saez,15/1AE
laurel-park,2,1,1,Pippin the WarriorMadefromlucky,,,Hugh I. McMahonJeiron Barbosa,9/2
laurel-park,2,2,2,El Papacito,60,Echo Town,Somraj SinghYan Rodriguez,12/1
laurel-park,2,3,3,Our Ham Sandwich,63,Improbable,Kieron MageeCarlos Eduardo Lopez,4/1
laurel-park,2,4,4,Golden Sand,87,Golden Lad,Claudio A. GonzalezYedsit Hazlewood,9/5
laurel-park,2,5,5,Golden KidGolden Years,,,Rodolfo Sanchez-SalomonTais Lyapustina,8/1
laurel-park,2,6,6,Hard Freeze,84,Hard Spun,Jamie NessMatilda Burnham,3/1
laurel-park,2,7,7,Pencil Me In,79,Hoppertunity,Timothy L. KeefeJorge Ruiz,10/1
laurel-park,3,1,1,Ecliptical Gina,88,Eclipticalspraline,Flint W. StitesRicardo Chiappe,8/1
laurel-park,3,2,2,Canadian Bear,81,Cupid,Kieron MageeYedsit Hazlewood,12/1
laurel-park,3,3,3,Practical Romance,91,Practical Joke,Brittany T. RussellSheldon Russell,5/1
laurel-park,3,4,4,Octet,66,Mendelssohn,Mark V. SalvaggioJomar Torres,15/1
laurel-park,3,5,5,Bella Estrela,88,Collected,Keri BrionDaniel Centeno,6/1
laurel-park,3,6,6,Fabia,83,Done Talking,Hamilton A. SmithYedsit Hazlewood,15/1MTO
laurel-park,3,7,7,Happy This Day,92,Runhappy,Milan MilosevicIsmerio Villalobos,7/2
laurel-park,3,8,8,Steam Knot,62,Kitten's Joy,Susan S. CooneyAndres Chavez,30/1
laurel-park,3,9,9,Infastuation,93,The Factor,Linda L. AlbertTais Lyapustina,20/1
laurel-park,3,10,10,Queen Rocket,96,Tapwrit,Michael Charles AroJorge Ruiz,4/1
laurel-park,3,11,11,Scholar,86,Yoshida (JPN),Michael J. TrombettaMychel J. Sanchez,10/1
laurel-park,3,12,12,Learning to Fly,89,Bernardini,Keri BrionForest Boyce,8/1
laurel-park,4,1,1,Gotta Be Da Shoes,60,Holy Boss,Damon R. DilodovicoJohan Rosado,3/1
laurel-park,4,2,2,Tierra Santa,69,Improbable,"Gary L. Williams, Jr.Denis Vicente Araujo",7/2
laurel-park,4,3,3,Feel the Bolt,69,Bolt d'Oro,David R. MohanJeiron Barbosa,30/1
laurel-park,4,4,4,Littlegirljustice,82,Imagining,Niall SavilleMatilda Burnham,9/2
laurel-park,4,5,5,God Willing,46,Great Notion,Jason L. ColePedro Pena,30/1
laurel-park,4,6,6,Valerie Street,80,Street Strategy,Rodolfo Sanchez-SalomonTais Lyapustina,2/1
laurel-park,4,7,7,LadsfirstloveGolden Lad,,,Jason L. ColeAndres Chavez,15/1
laurel-park,4,8,8,Spirit and Truth,47,Hard Spun,Donald H. BarrWeston Hamilton,6/1
laurel-park,5,1,1,Issano,61,Field Commission,Justin J. NixonTais Lyapustina,10/1
laurel-park,5,2,2,Twice Gold,3,Golden Lad,Hugh I. McMahonYedsit Hazlewood,6/1
laurel-park,5,3,3,Bad Boy Blaze,46,Madefromlucky,Alison P. DelgadoAlberto Delgado,20/1
laurel-park,5,4,4,Box of Rockets,73,Bandbox,Bobby Lee PlummerCarlos Eduardo Lopez,10/1
laurel-park,5,5,5,Skylar's Brother,105,Bourbon Courage,Phillip CapuanoJeiron Barbosa,12/1
laurel-park,5,6,6,Candycrumbs,63,Valiant Minister,Jonathan MaldonadoJevian Toledo,5/2
laurel-park,5,7,7,Who Says So,86,Hoppertunity,A. Ferris Allen IIIIsmerio Villalobos,2/1
laurel-park,5,8,8,Repeatingofcourse,113,Algorithms,Horacio De PazMychel J. Sanchez,5/1
laurel-park,5,9,9,Buthespretty,54,Paynter,Susan S. CooneyJean Gregor Briceno,30/1
laurel-park,6,1,1,Long Straw,81,Madefromlucky,Timothy M. VickAndres Chavez,30/1
laurel-park,6,2,2,Chimney Sweep,73,Outflanker,"Anthony Aguirre, Jr.Jeiron Barbosa",5/1
laurel-park,6,3,3,Thunder Cry,70,Irish War Cry,Georgia D. AndreadakisTais Lyapustina,30/1
laurel-park,6,4,4,Summerinthecountry,90,Upstart,Hugh I. McMahonYedsit Hazlewood,10/1MTO
laurel-park,6,5,5,Serendipitymonday,46,First Mondays,Diana L. McClureMatilda Burnham,20/1
laurel-park,6,6,6,Katmandu,101,English Channel,Jeff C. RuncoArnaldo Bocachica,8/1
laurel-park,6,7,7,Stanza,,Great Notion,Elizabeth M. MerrymanIsmerio Villalobos,4/1
laurel-park,6,8,8,Bald Cypress,79,Golden Lad,Leo J. AmbrogiJean Gregor Briceno,30/1
laurel-park,6,9,9,Star AtlasLiam's Map,,,Mary E. EpplerYedsit Hazlewood,15/1
laurel-park,6,10,10,Luca Machine,81,Liam's Map,Edward T. AllardHoracio Karamanos,7/2
laurel-park,6,11,11,Danner,55,Omaha Beach,W. Robert BailesJevian Toledo,9/5
laurel-park,6,12,12,The Commish,63,Commissioner,Keri BrionJ.G. Torrealba,9/2AE
laurel-park,6,13,13,Showpiece,84,Munnings,Bruno TessoreCarlos Eduardo Lopez,12/1AE
