track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
mountaineer,1,1,1,Mo Caliente,99,Uncle Mo,"Claudie Marshall Godsey, Jr.Bailey Weatherly",4/1
mountaineer,1,2,2,Good Moments,78,Leofric,Juan C. VazquezMichael Y. Pagan,3/1
mountaineer,1,3,3,Big Producer,80,Union Rags,Terry J. CragoRicardo Barrios,6/1
mountaineer,1,4,4,El Ondeado,100,Om,Denis CluleyKevin Gonzalez,7/2
mountaineer,1,5,5,Shiva,101,Mitole,"Claudie Marshall Godsey, Jr.Deshawn L. Parker",8/1
mountaineer,1,6,6,Harbour Bridge,103,Justify,Krista Nicole HetrickKyle Gilbert,2/1
mountaineer,2,1,1,Arrebato,99,Goldencents,Eddie CloustonBrandon Tapara,9/5
mountaineer,2,2,2,Leo and Royal,78,Alpha,Jose A. LopezLimber Taboada Flores,10/1
mountaineer,2,3,3,Fort Langley,109,Majestic Warrior,Eddie CloustonDeshawn L. Parker,3/1
mountaineer,2,4,4,Zero Gravity,80,Orb,Tina RamgeetAndrew R. Ramgeet,12/1
mountaineer,2,5,5,Mr Tito's,84,Mr Speaker,Lisa AllenJoe Stokes,4/1
mountaineer,2,6,6,Group Eighteen,96,Ironicus,Jose Luna SilvaLuis Negron,6/1
mountaineer,2,7,7,Full Moon Fever,92,Effinex,Julia GilbertKyle Gilbert,8/1
mountaineer,3,1,1,Kool Kathmandu,100,Frosted,Wilson C. LangleyBrandon Whitacre,9/5
mountaineer,3,2,2,No Name Dude,,The Big Beast,Angel KocijanLimber Taboada Flores,5/2
mountaineer,3,3,3,Emperorofthedark,78,Conveyance,Tara B. ReffnerKevin Gonzalez,8/1
mountaineer,3,4,4,Determined Love,107,Shackleford,Julie MathesLuis Tapara,7/2
mountaineer,3,5,5,Cash Customer,103,Cinco Charlie,Danny R. BirdBailey Weatherly,9/2
mountaineer,3,6,6,Cindy's Storm,96,Mizzen Mast,Angel KocijanMichael Y. Pagan,12/1
mountaineer,4,1,1,Busker Allie,62,Grazen,Jami C. PooleJoe Stokes,5/2
mountaineer,4,2,2,I Matter,78,Prayer for Relief,William M. HowardKyle Gilbert,3/1
mountaineer,4,3,3,Pointof Attraction,67,Point of Entry,John T. BrownKevin Gonzalez,8/1
mountaineer,4,4,4,Sugar Britches,38,Soldat,William G WitherowMichael Y. Pagan,4/1
mountaineer,4,5,5,Maureenlovesfrank,82,Wicked Strong,Jami C. PooleAgustin Bracho,7/2
mountaineer,4,6,6,Love to Zoom,64,Bullsbay,Sara StanoszekJose M. Davila,12/1
mountaineer,4,7,7,Miss Lauren,64,Fort Larned,Gary WelshBailey Weatherly,6/1
mountaineer,5,1,1,Hyper Awakening,82,Hyper,Julie MathesLuis Tapara,8/1
mountaineer,5,2,2,Memosis,84,Smokem,Jose Luna SilvaJose A. Leon,6/1
mountaineer,5,3,3,Echo Lake,89,Catalina Cruiser,Juan C. VazquezMaikol Vilchez,9/5
mountaineer,5,4,4,Maci's World,85,Lord Nelson,Josh BishopBailey Weatherly,5/2
mountaineer,5,5,5,Ante Angel,79,Skylord,Denis CluleyKevin Gonzalez,6/1
mountaineer,5,6,6,Bahiti,51,Cairo Prince,Sherry L. JacksonWalter Cullum,5/1
mountaineer,5,7,7,Kiss Me On Oconee,70,Lord Nelson,John T. BrownLimber Taboada Flores,15/1
mountaineer,6,1,1,Lord Ante,102,Skylord,Denis CluleyKevin Gonzalez,5/2
mountaineer,6,2,2,Confessor,85,Freedom Child,Eddie CloustonDeshawn L. Parker,5/1
mountaineer,6,3,3,Hornbeam,100,Union Rags,Jose Luna SilvaJose A. Leon,4/1
mountaineer,6,4,4,Fenwick Jack,106,Speightster,Virginia DemczykRicardo Barrios,3/1
mountaineer,6,5,5,Cavendish,83,Flatter,Larry R. ReedBrandon Tapara,6/1
mountaineer,6,6,6,Exalted Joy,80,Exaggerator,Eddie CloustonKyle Gilbert,10/1
mountaineer,6,7,7,Krug,101,Not This Time,Jose A. LopezLuis Tapara,8/1
mountaineer,7,1,1,High Rolling Dude,100,Caleb's Posse,Larry R. ReedJoe Stokes,7/2
mountaineer,7,2,2,Khozando,104,Khozan,Jeff FletcherCharle Oliveros,2/1
mountaineer,7,3,3,Tate,95,Quality Road,Robert S. ScallanBailey Weatherly,8/1
mountaineer,7,4,4,Zimba Warrior,93,Khozan,Jose Luna SilvaJose A. Leon,4/1
mountaineer,7,5,5,Strike Appeal,110,Tonalist,Michelle WintersAlexander Chavez,3/1
mountaineer,7,6,6,Misterchilliwilli,103,Uncaptured,Jeff FletcherBrandon Tapara,6/1
mountaineer,8,1,1,Future Flay,76,Prospective,Francisco RamosLuis Tapara,15/1
mountaineer,8,2,2,Landy,80,Exaggerator,Juan Raul AguirreLimber Taboada Flores,8/1
mountaineer,8,3,3,Carlotuk,87,Constitution,Tina RamgeetAndrew R. Ramgeet,5/2
mountaineer,8,4,4,Pioneer Parade,84,Carpe Diem,"Claudie Marshall Godsey, Jr.Ricardo Barrios",10/1
mountaineer,8,5,5,Cloudy Bay,92,Cloud Computing,Tina RamgeetDeshawn L. Parker,9/2
mountaineer,8,6,6,Gotham Gray,76,Frosted,Marco CcamaqueErik Barbaran,4/1
mountaineer,8,7,7,Vostra,60,Fort Larned,Melinda K. SandersMaikol Vilchez,12/1
mountaineer,8,8,8,She's Muy Muy,88,Goldencents,Jose Luna SilvaAlejandro Gomez,7/2
