track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
remington-park,1,1,1,Life At Sea,82,West Coast,Jim M. RobertsLuis S. Quinonez,4/1
remington-park,1,2,2,Zed,101,Arrogate,Terry EoffDavid Cabrera,3/1
remington-park,1,3,3,Confiding,83,Congrats,Danny PishIsaiah Wiseman,6/1
remington-park,1,4,4,King of Grace,88,King Zachary,Alejandro Baldillez Jr.Santos Rivera,8/1
remington-park,1,5,5,Guadalajara,52,Justify,Joseph PetalinoLuis R. Reyes,12/1
remington-park,1,6,6,Magic Grant,110,Good Magic,Cameron MilliganRichard E. Eramia,2/1
remington-park,1,7,7,Yo Soy Roy,44,Yoshida (JPN),Dick CappellucciStewart Elliott,5/1
remington-park,2,1,1,Candy Thief,69,Shoplifted,Miguel Angel SilvaErnesto Valdez-Jiminez,5/1
remington-park,2,2,2,Harvey's Finnish,85,Harvey Wallbanger,Danny PishMario Fuentes,9/2
remington-park,2,3,3,Lady Beau,84,Beau Liam,C. R. TroutJose L. Alvarez,4/1
remington-park,2,4,4,Dialing for Dough,41,Dialed In,Jayde J. GelnerIsaiah Wiseman,15/1
remington-park,2,5,5,Sweet DTrue Timber,,,Francisco BravoRene Diaz,8/1
remington-park,2,6,6,Wakuda,58,Gun Runner,Steven M. AsmussenKeith J. Asmussen,5/2
remington-park,2,7,7,Merry Mary LouLatent Heat,,,Francisco BravoFloyd Wethey Jr.,15/1
remington-park,2,8,8,Doc's Lucky LadyBricktown Cat,,,Mark C. LeeBelen Quinonez,10/1
remington-park,2,9,9,Flat Out KelceFlat Out,,,Travis Swan MurphyCassidy D. B. Fletcher,8/1
remington-park,3,1,1,Sugoi,106,Karakontie (JPN),Michael J. MakerStewart Elliott,3/1
remington-park,3,2,2,Spoiler,113,First Samurai,Robertino DiodoroRamon A. Vazquez,5/1
remington-park,3,3,3,Big Bernie,106,Bernardini,Jaime CastellanosRichard E. Eramia,8/1
remington-park,3,4,4,Ocelot,109,Big Blue Kitten,Tristan AshfordDavid Cabrera,4/1
remington-park,3,5,5,Mor Victory,106,Mor Spirit,Jayde J. GelnerIsaiah Wiseman,6/1
remington-park,3,6,6,Gigante,110,Not This Time,Steven M. AsmussenJose L. Ortiz,7/5
remington-park,4,1,1,Double L's Army,81,Army Mule,Jayde J. GelnerStewart Elliott,15/1
remington-park,4,2,2,Hot Crazy Matrix,73,Tapit,Steven M. AsmussenJose L. Ortiz,9/2
remington-park,4,3,3,Tiz a Ten I See,100,Tiz the Law,Austin GustafsonRene Diaz,10/1
remington-park,4,4,4,Ritzaphena,57,Lexitonian,Jayde J. GelnerFloyd Wethey Jr.,4/1
remington-park,4,5,5,Echos of Violence,86,Violence,Robertino DiodoroRamon A. Vazquez,10/1
remington-park,4,6,6,Lanaluah,96,Beau Liam,Austin GustafsonFreddy Jose Manrrique,6/1
remington-park,4,7,7,Look N Mighty Fine,94,Stanford,Steven M. AsmussenErik Asmussen,5/1
remington-park,4,8,8,Cold Case,55,Tiz the Law,Ron MoquettDavid Cabrera,15/1
remington-park,4,9,9,Woodstock,79,Yaupon,Michael J. MakerLuis Saez,5/2
remington-park,5,1,1,Lucky Speech,81,Audible,Joe SharpJose L. Ortiz,9/2
remington-park,5,2,2,Moonlight Gambler,100,Malibu Moon,Tristan AshfordLuis S. Quinonez,15/1
remington-park,5,3,3,Sabalenka,106,Good Samaritan,Joe SharpLuis Saez,7/2
remington-park,5,4,4,Loterie,100,(100)Ten Sovereigns (IRE),Jim M. RobertsJose L. Alvarez,12/1
remington-park,5,5,5,Peak Earnings,101,(101)Kingman (GB),Robertino DiodoroStewart Elliott,5/1
remington-park,5,6,6,Lookinforbargains,112,Practical Joke,Todd W. FincherRamon A. Vazquez,8/1
remington-park,5,7,7,Tour Queen,116,Tourist,Wade RarickRichard E. Eramia,15/1
remington-park,5,8,8,Optimistic Cowgirl,92,Optimizer,Eduardo CruzRene Diaz,8/1
remington-park,5,9,9,Neom Beach,107,Omaha Beach,Steven M. AsmussenErik Asmussen,5/2
remington-park,6,1,1,Breakable Code,124,Code West,Joe S. OffolterRichard E. Eramia,6/1
remington-park,6,2,2,Stage Left,110,Congrats,Scott E. YoungBelen Quinonez,12/1
remington-park,6,3,3,Second I D,126,Maclean's Music,Robert A. YoungIram Vargas Diego,7/2
remington-park,6,4,4,Ryvit,97,Competitive Edge,Steven M. AsmussenKeith J. Asmussen,9/2
remington-park,6,5,5,Surveillance,117,Constitution,Michael J. MakerJose L. Ortiz,5/2
remington-park,6,6,6,Big Effect,125,The Big Beast,Robertino DiodoroRamon A. Vazquez,5/1
remington-park,6,7,7,Mikel W,120,Bradester,Juan PadillaJose L. Alvarez,10/1
remington-park,6,8,8,Blue Light,108,City of Light,J. R. CaldwellRene Diaz,8/1
remington-park,7,1,1,Lexi's Comeback,71,Competitive Edge,Jon W. NewboldJose L. Alvarez,8/1
remington-park,7,2,2,Rooster J,96,Global Campaign,Danny PishRene Diaz,10/1
remington-park,7,3,3,Fuel,102,Basin,Steven M. AsmussenErik Asmussen,5/2
remington-park,7,4,4,Old Money,81,Goldencents,Jayde J. GelnerFloyd Wethey Jr.,5/1
remington-park,7,5,5,Canned Heat,99,Candy Ride (ARG),Jesse OberlanderRichard E. Eramia,10/1
remington-park,7,6,6,Essential Time,96,Essential Quality,Danny PishIram Vargas Diego,15/1
remington-park,7,7,7,Express Kid,103,Bodexpress,Wade RarickRamon A. Vazquez,5/1
remington-park,7,8,8,Two StevesHit It a Bomb,,,Matt HebertDavid Cabrera,12/1
remington-park,7,9,9,Stretch,99,Modernist,Austin GustafsonFreddy Jose Manrrique,7/2
remington-park,8,1,1,Bad Beat Brian,109,Jack Milton,Steven M. AsmussenErik Asmussen,12/1
remington-park,8,2,2,Mo Stash,79,Mo Town,Victoria H. OliverLuis Saez,10/1
remington-park,8,3,3,Dark Afternoon,106,Black Bear,Alex T. HartmanIram Vargas Diego,8/1
remington-park,8,4,4,Jackman's Ride,114,Maclean's Music,J. R. CaldwellRene Diaz,10/1
remington-park,8,5,5,Eakly,103,Caleb's Posse,Donnie K. Von HemelRichard E. Eramia,15/1
remington-park,8,6,6,Ruggs,120,Gun Runner,Carl Anthony CunninghamEmanuel Castillo Zabala,20/1
remington-park,8,7,7,Big Chopper,98,Shackleford,Jayde J. GelnerFloyd Wethey Jr.,20/1
remington-park,8,8,8,Usually Wrong,109,Lookin At Lucky,Robertino DiodoroRamon A. Vazquez,3/1
remington-park,8,9,9,Let's Go Mark,113,American Freedom,Juan PadillaDavid Cabrera,10/1
remington-park,8,10,10,Incanto,76,(76)Mehmas (IRE),Peter EurtonStewart Elliott,6/1
remington-park,8,11,11,High Front,88,Summer Front,Steven M. AsmussenKeith J. Asmussen,9/2
remington-park,8,12,12,Mister Mmmmm,98,Speightster,Joe SharpJose L. Ortiz,10/1
remington-park,9,1,1,Seraphia,99,Gun Runner,Steven M. AsmussenErik Asmussen,4/1
remington-park,9,2,2,Fugitive Star,111,Nyquist,Esteban MartinezDavid Cabrera,8/1
remington-park,9,3,3,Runnin N Gunnin,61,Gun Runner,Steven M. AsmussenJose L. Ortiz,3/1
remington-park,9,4,4,Lemon Zest,103,Nyquist,Brad H. CoxLuis Saez,5/2
remington-park,9,5,5,So There She Was,102,Munnings,Doug F. O'NeillRamon A. Vazquez,7/2
remington-park,9,6,6,Legal Empress,78,Tiz the Law,Abel Ramirez-RodriguezStewart Elliott,8/1
remington-park,9,7,7,Ima Margarita Girl,84,Coast Guard,Wade RarickRichard E. Eramia,10/1
remington-park,10,1,1,Mister Omaha,117,Omaha Beach,Joe S. OffolterLuis S. Quinonez,8/1
remington-park,10,2,2,Iron Dome,104,Into Mischief,Steven M. AsmussenJose L. Ortiz,9/2
remington-park,10,3,3,Hot Gunner,88,Exaggerator,Scott E. YoungFloyd Wethey Jr.,20/1
remington-park,10,4,4,Bracket Buster,126,Vekoma,Victoria H. OliverLuis Saez,4/1
remington-park,10,5,5,Publisher,115,American Pharoah,Steven M. AsmussenErik Asmussen,7/2
remington-park,10,6,6,Take Charge Tom,120,Tom's d'Etat,Robertino DiodoroRamon A. Vazquez,8/1
remington-park,10,7,7,Colonel Yorke,120,Excaper,Mindy J. WillisStewart Elliott,15/1
remington-park,10,8,8,Coal Battle,118,Coal Front,Lonnie BrileyCorey J. Lanerie,2/1
