race_number,program_number,horse_name,latest_surface,latest_distance,latest_time,latest_finish_position
1,1,Life At Sea,Dirt-Fast,1M 70Y,1:45.51,4
1,2,Zed,Dirt-Fast,1 m,1:39.58,2
1,3,Confiding,Dirt-Muddy,1 1/16M,1:48.14,2
1,4,King of Grace,Dirt-Fast,7 f,1:25.50,4
1,5,Guadalajara,Turf-Firm,7 1/2F,1:31.24,10
1,6,Magic Grant,Dirt-Fast,6 1/2F,1:17.47,3
1,7,Yo Soy Roy,Dirt-Fast,1M 70Y,1:45.51,5
2,1,Candy Thief,Dirt-Fast,5 f,0:58.25,5
2,2,Harvey's Finnish,Dirt,6 f,1:13.45,3rd
2,3,Lady Beau,Dirt-Fast,5 f,0:58.88,2
2,4,Dialing for Dough,Dirt-Fast,5 f,0:58.88,8
2,6,Wakuda,Turf-Firm,5 1/2F,1:01.87,8
3,1,Sugoi,Turf-Good,1 5/16M,2:08.13,3
3,2,Spoiler,Turf-Firm,7 1/2F,1:29.74,2
3,3,Big Bernie,Dirt-Fast,1 1/16M,1:43.30,4
3,4,Ocelot,Turf-Firm,7 1/2F,1:29.86,1
3,5,Mor Victory,Turf-Firm,7 1/2F,1:29.86,2
3,6,Gigante,Turf-Firm,1 m,1:32.74,6
4,1,Double L's Army,Dirt-Fast,5 f,1:00.15,1
4,2,Hot Crazy Matrix,Dirt-Fast,6 f,1:12.39,3
4,3,Tiz a Ten I See,Dirt-Fast,6 f,1:13.45,1
4,4,Ritzaphena,Turf-Firm,6 1/2F,1:14.80,10
4,5,Echos of Violence,Dirt-Fast,5 1/2F,1:05.78,1
4,6,Lanaluah,Dirt-Muddy,5 1/2F,1:05.72,1
4,7,Look N Mighty Fine,Dirt-Fast,5 f,0:58.92,1
4,8,Cold Case,Synthetic,6 f,1:11.21,11th
4,9,Woodstock,Turf-Firm,6 1/2F,1:14.53,5
5,1,Lucky Speech,Turf-Firm,1 5/16M,2:08.70,4
5,2,Moonlight Gambler,Turf-Firm,7 1/2F,1:30.31,5
5,3,Sabalenka,Turf-Firm,1 m,1:33.14,5
5,4,Loterie,Turf,1 mile,1:35.87,6th
5,5,Peak Earnings,Turf,5 1/2 f,1:03.86,6th
5,6,Lookinforbargains,Dirt-Fast,6 f,1:11.38,1
5,7,Tour Queen,Turf-Firm,1 m,1:34.93,1
5,8,Optimistic Cowgirl,Dirt-Muddy,1 m,1:40.11,1
5,9,Neom Beach,Turf-Firm,1 m,1:32.40,10
6,1,Breakable Code,Dirt-Fast,6 1/2F,1:18.49,1
6,2,Stage Left,Dirt-Fast,6 f,1:10.90,1
6,3,Second I D,Dirt-Fast,6 f,1:09.90,2
6,4,Ryvit,Dirt-Fast,6 1/2F,1:15.21,7
6,5,Surveillance,Dirt-Fast,6 f,1:09.55,4
6,6,Big Effect,Dirt-Fast,6 f,1:09.49,2
6,7,Mikel W,Dirt-Fast,5 1/2F,1:04.97,1
6,8,Blue Light,Dirt-Fast,6 f,1:10.90,3
7,1,Lexi's Comeback,Dirt-Good,5 1/2F,1:05.25,4
7,2,Rooster J,Dirt-Fast,5 1/2F,1:05.37,1
7,3,Fuel,Dirt-Fast,6 f,1:10.61,1
7,4,Old Money,Dirt-Fast,6 f,1:10.16,5
7,5,Canned Heat,Dirt-Fast,6 f,1:12.32,1
7,6,Essential Time,Dirt-Fast,6 f,1:12.32,2
7,7,Express Kid,Dirt-Fast,6 f,1:10.16,2
7,9,Stretch,Dirt-Fast,5 f,0:58.64,1
8,1,Bad Beat Brian,Turf-Firm,5 f,0:57.10,2
8,2,Mo Stash,Turf-Firm,6 1/2F,1:15.26,7
8,3,Dark Afternoon,Turf-Firm,5 f,0:55.49,1
8,4,Jackman's Ride,Turf-Firm,5 f,0:57.10,1
8,5,Eakly,Turf-Firm,5 f,0:55.49,2
8,6,Ruggs,Dirt-Fast,7 f,1:21.44,5th
8,7,Big Chopper,Dirt-Fast,1 1/16M,1:45.98,4
8,8,Usually Wrong,Turf-Firm,5 f,0:54.91,1
8,9,Let's Go Mark,Turf-Firm,5 f,0:55.99,1
8,10,Incanto,Turf,1 mile,1:36.32,7th
8,11,High Front,Turf-Firm,6 1/2F,1:15.26,2
8,12,Mister Mmmmm,Turf-Firm,5 1/2F,1:01.62,5
9,1,Seraphia,Dirt-Fast,1 m,1:37.70,2
9,2,Fugitive Star,Turf-Good,1 m,1:38.45,1
9,3,Runnin N Gunnin,Dirt-,1 1/8 m,1:52.50,9
9,4,Lemon Zest,Dirt-Fast,1 m,1:37.70,1
9,5,So There She Was,Dirt-Fast,1 m,1:36.99,2
9,6,Legal Empress,Dirt-Good,1 1/16M,1:45.39,4
9,7,Ima Margarita Girl,Dirt-Fast,1 1/16M,1:45.80,2
10,1,Mister Omaha,Dirt-Fast,1 1/8 m,1:50.78,4
10,2,Iron Dome,Dirt-Fast,1 1/8 m,1:51.78,1
10,3,Hot Gunner,Dirt-Fast,1 m,1:40.45,4
10,4,Bracket Buster,Dirt-Fast,1 1/4 m,2:00.84,2
10,5,Publisher,Dirt-Fast,1 1/16M,1:41.15,4
10,6,Take Charge Tom,Dirt-Fast,1 1/4 m,2:03.99,1
10,7,Colonel Yorke,Dirt-Fast,7 f,1:23.37,1
10,8,Coal Battle,Dirt-Fast,1 1/16M,1:41.15,2
2,5,Sweet DTrue Timber,,,,
2,7,Merry Mary LouLatent Heat,,,,
2,8,Doc's Lucky LadyBricktown Cat,,,,
2,9,Flat Out KelceFlat Out,,,,
7,8,Two StevesHit It a Bomb,,,,
