track_name,race_number,post_position,program_number,horse_name,speed_figure,sire,trainer_jockey,morning_line
santa-anita,1,1,1,Kiss for Lulu,75,Stay Thirsty,Val BrinkerhoffKazushi Kimura,10/1
santa-anita,1,2,2,Irish Element,95,Texas Ryano,Doug F. O'NeillAbel Lezcano,12/1
santa-anita,1,3,3,Star of Delhi,92,Smiling Tiger,D. Wayne BakerSerafin Carmona,20/1
santa-anita,1,4,4,Fleet Brotato,86,Sir Prancealot (IRE),Arturo J. WilliamsArmando Aguilar,30/1
santa-anita,1,5,5,Fight Back,97,Mrazek,Simon CallaghanUmberto Rispoli,7/2
santa-anita,1,6,6,Mav Man,99,English Channel,Leonard PowellArmando Ayuso,5/2
santa-anita,1,7,7,Zagreus,86,Sir Prancealot (IRE),Leonard PowellDiego A. Herrera,4/1
santa-anita,1,8,8,Foreroyal,47,Forest Command,Brendan W. GalvinTyler Baze,30/1
santa-anita,1,9,9,Crime Lord,55,Street Boss,Peter MillerJuan J. Hernandez,5/1
santa-anita,1,10,10,Benny's Puzzle,96,Curlin to Mischief,Jorge GutierrezRicardo Gonzalez,20/1
santa-anita,1,11,11,Brahms Mendelssohn,83,Mendelssohn,Brendan W. GalvinKyle Frey,15/1
santa-anita,2,1,1,A Friend of Mine,90,Mineshaft,Philip D'AmatoUmberto Rispoli,1/1
santa-anita,2,2,2,Deep BlueEcho Town,,,Dan BlackerArmando Ayuso,4/1
santa-anita,2,3,3,Joyful Mischief,86,Stay Thirsty,Melanie W. McDonaldLeonel Camacho-Flores,5/1
santa-anita,2,4,4,Gathered,86,Collected,Michael W. McCarthyJohn R. Velazquez,2/1
santa-anita,2,5,5,Music LadyAlways Dreaming,,,Ruben GomezSerafin Carmona,15/1
santa-anita,3,1,1,Ivory Moon,85,Ransom the Moon,Peter MillerArmando Aguilar,5/2
santa-anita,3,2,2,Violet Storm,11,Violence,Steve R. KnappTyler Baze,12/1
santa-anita,3,3,3,Twilight Empire,90,Empire Way,Librado BarocioKyle Frey,8/5
santa-anita,3,4,4,Ole Silver,85,Acclamation,Philip D'AmatoAbel Lezcano,2/1
santa-anita,4,1,1,Ariri,104,(104)Cable Bay (IRE),Leonard PowellRicardo Gonzalez,30/1
santa-anita,4,2,2,Chai,100,Race Day,"Robert B. Hess, Jr.Kyle Frey",30/1
santa-anita,4,3,3,Princesa Moche,77,(77)Muwaary (GB),Doug F. O'NeillJohn R. Velazquez,20/1
santa-anita,4,4,4,Madonna of Loreto,97,Caravaggio,Philip D'AmatoKazushi Kimura,8/1
santa-anita,4,5,5,Sunglow,65,(65)No Nay Never,John W. SadlerJuan J. Hernandez,9/2
santa-anita,4,6,6,Dare to Fly,101,Daredevil,Philip D'AmatoUmberto Rispoli,5/1
santa-anita,4,7,7,Yellow Sun Dress,107,Karakontie (JPN),Mark GlattKent J. Desormeaux,4/1
santa-anita,4,8,8,The Wild Grazer,68,(68)Gustav Klimt (IRE),Jeff MullinsHector Isaac Berrios,9/2
santa-anita,4,9,9,Invincible Molly,81,(81)Invincible Army (IRE),Steve R. KnappArmando Ayuso,6/1
santa-anita,4,10,10,Tight Squeeze,80,Sir Prancealot (IRE),John W. SadlerAbel Lezcano,5/1
santa-anita,5,1,1,Lil' Boom Boom,95,Stay Thirsty,Steven MiyadiWelfin R. Orantes,9/2
santa-anita,5,2,2,Lena Lindgard,80,Tough Sunday,Steven MiyadiArmando Aguilar,5/1
santa-anita,5,3,3,Empress of Grace,88,Stay Thirsty,Steve R. KnappTiago Josue Pereira,6/1
santa-anita,5,4,4,Misty Heart,70,Heartwood,Vann BelvoirKazushi Kimura,12/1
santa-anita,5,5,5,Approval Rating,86,Ride On Curlin,O. J. JaureguiRicardo Gonzalez,5/1
santa-anita,5,6,6,Sei Bella,77,Om,Sean McCarthyTyler Baze,9/2
santa-anita,5,7,7,Headstrong Ways,52,Munnings,Richard BaltasBrayan Pena,8/1
santa-anita,5,8,8,Maximun Gold,98,Maximum Security,Ruben GomezSerafin Carmona,3/1
santa-anita,5,9,9,Kool Tap Dancer,84,Tapiture,Robert J. LucasPedro Flores,20/1
santa-anita,6,1,1,Debbies Gettinghot,38,Conquest Farenheit,Debbie WinickCristobal Herrera,20/1
santa-anita,6,2,2,Mo Holland Drive,54,Mo Forza,Peter MillerJuan J. Hernandez,9/2
santa-anita,6,3,3,Sagunto,85,Nyquist,Ryan HansonKazushi Kimura,8/1
santa-anita,6,4,4,Booked Clubhouse,58,Clubhouse Ride,Sean McCarthyKyle Frey,4/1
santa-anita,6,5,5,Dark BlueMaxfield,,,Michael W. McCarthyJohn R. Velazquez,12/1
santa-anita,6,6,6,Mystic Moses,46,Stay Thirsty,Steven MiyadiArmando Aguilar,10/1
santa-anita,6,7,7,ScatalotadingdongSir Prancealot,,,Leonard PowellMike E. Smith,6/1
santa-anita,6,8,8,Eye of the Smiley,43,Smiling Tiger,Brian J. KorinerDiego A. Herrera,5/1
santa-anita,6,9,9,Cal's GoalCairo Prince,,,Tim YakteenArmando Ayuso,12/1
santa-anita,6,10,10,Senor Tequilas,50,Misremembered,Jesus RamosFrancisco Monroy,30/1
santa-anita,6,11,11,Another Bulleit,82,I'll Have Another,Paula S. CapestroMirco Demuro,6/1
santa-anita,6,12,12,Throwthefirstpunch,50,Sir Prancealot (IRE),Doug F. O'NeillAbel Lezcano,12/1AE
santa-anita,7,1,1,Sugar Fish,109,Accelerate,Jeff MullinsTyler Baze,6/1
santa-anita,7,2,2,La Kika,,Badge of Silver,Doug F. O'NeillHector Isaac Berrios,9/2
santa-anita,7,3,3,Cavalieri,126,Nyquist,Bob BaffertJuan J. Hernandez,7/5
santa-anita,7,4,4,Howin,99,Gun Runner,Bob BaffertKazushi Kimura,8/1
santa-anita,7,5,5,Richi,127,(127)Practical Joke,Bob BaffertAntonio Fresu,3/2
santa-anita,8,1,1,Waltz Across Texas,66,Texas Ryano,Daniel DunhamAbel Lezcano,10/1
santa-anita,8,2,2,Hello Kid O Kid O,98,Danzing Candy,Librado BarocioJuan J. Hernandez,6/1
santa-anita,8,3,3,Princesa Del Tigre,100,Smiling Tiger,Tim McCannaKyle Frey,8/1
