race_number,program_number,horse_name,latest_surface,latest_distance,latest_time,latest_finish_position
1,1,Kiss for Lulu,Turf-Firm,1 m,1:34.34,2
1,2,Irish Element,Turf-Firm,1 m,1:34.34,3
1,3,Star of Delhi,Turf-Firm,1 m,1:34.34,8
1,4,Fleet Brotato,Turf-Firm,1 m,1:34.34,9
1,5,Fight Back,Turf-Firm,1 m,1:34.34,5
1,6,Mav Man,Turf-Firm,1 m,1:34.34,1
1,7,Zagreus,Turf-Firm,1 m,1:34.34,4
1,8,Foreroyal,Turf-Firm,1 m,1:34.34,11
1,9,Crime Lord,Turf-Firm,1 m,1:34.34,10
1,10,Benny's Puzzle,Turf-Firm,1 m,1:34.34,7
1,11,Brahms Mendelssohn,Turf-Firm,1 m,1:34.34,6
2,1,A Friend of Mine,Dirt-Fast,6 1/2F,1:17.40,2nd
2,2,Deep BlueEcho Town,,,,
2,3,Joyful Mischief,Dirt-Fast,6 1/2F,1:17.40,3rd
2,4,Gathered,Dirt-Fast,6 1/2F,1:17.40,4th
2,5,Music LadyAlways Dreaming,,,,
3,1,Ivory Moon,Dirt-Fast,1 m,1:38.21,3
3,2,Violet Storm,Dirt-Fast,1 m,1:38.21,9
3,3,Twilight Empire,Dirt-Fast,1 m,1:38.21,1
3,4,Ole Silver,Dirt-Fast,1 m,1:38.21,4
4,1,Ariri,,,,
4,2,Chai,Dirt-Fast,1 1/16M,1:42.15,3
4,3,Princesa Moche,,,,
4,4,Madonna of Loreto,Turf-Firm,1 1/16M,1:43.50,4
4,5,Sunglow,Turf,6 f,1:08.41,3rd
4,6,Dare to Fly,Dirt-Fast,6 1/2F,1:15.10,4
4,7,Yellow Sun Dress,Turf-Firm,1 m,1:35.47,3
4,8,The Wild Grazer,Turf,6 1/2 f,1:13.82,7th
4,9,Invincible Molly,Turf,1 mile,1:35.87,7th
4,10,Tight Squeeze,Turf-Firm,5 f,0:57.45,3
5,1,Lil' Boom Boom,Dirt-Fast,6F,1:11.34,3
5,2,Lena Lindgard,Dirt-Fast,6 1/2F,1:17.97,1
5,3,Empress of Grace,Dirt-Fast,6 1/2F,1:18.10,3
5,4,Misty Heart,Dirt-Fast,6 1/2F,1:17.43,10
5,5,Approval Rating,Dirt-Fast,6F,1:10.10,7
5,6,Sei Bella,Dirt-Fast,6F,1:10.10,8
5,7,Headstrong Ways,Dirt-Fast,6F,1:10.61,1
5,8,Maximun Gold,Dirt-Fast,6F,1:10.10,4
5,9,Kool Tap Dancer,Dirt-Fast,6F,1:11.65,1
6,1,Debbies Gettinghot,Turf-Firm,5 f,0:57.87,5
6,2,Mo Holland Drive,Turf-Firm,5 f,0:57.67,3
6,3,Sagunto,Turf-Firm,1 m,1:36.64,6
6,4,Booked Clubhouse,Turf-Firm,5 f,0:57.67,2
6,5,Dark BlueMaxfield,,,,
6,6,Mystic Moses,Turf-Firm,5 f,0:57.67,7
6,7,ScatalotadingdongSir Prancealot,,,,
6,8,Eye of the Smiley,Turf-Firm,5 f,0:57.87,2
6,9,Cal's GoalCairo Prince,,,,
6,10,Senor Tequilas,Dirt-Fast,6F,1:11.90,7
6,11,Another Bulleit,Dirt-Fast,5 1/2F,1:03.59,6
6,12,Throwthefirstpunch,Turf-Firm,5 f,0:57.67,4
7,1,Sugar Fish,Dirt-Fast,1 m,1:34.55,5
7,2,La Kika,,,,
